CCAA;Total casos;IA últimos 14 días;Ingreso en UCI;Fallecidos
Andalucía;1287.0;15,05;38.0;30.0
Aragón;360.0;26,83;28.0;17.0
Asturias;344.0;33,14;7.0;2.0
Baleares;203.0;17,14;10.0;2.0
Canarias;287.0;12,82;25.0;4.0
Cantabria;144.0;23,06;7.0;1.0
Castilla-La Mancha;1.044;50,62;37.0;62.0
Castilla y León;1.147;47,22;69.0;43.0
Cataluña;3.27;42,29;33.0;82.0
Ceuta;5.0;5,90;0.0;0.0
C. Valenciana;1.105;21,48;71.0;33.0
Extremadura;297.0;27,25;4.0;10.0
Galicia;578.0;21,30;19.0;5.0
Madrid;7.165;105,47;678.0;628.0
Melilla;24.0;27,75;1.0;0.0
Murcia;204.0;13,66;11.0;0.0
Navarra;554.0;84,22;19.0;5.0
País Vasco;1.465;64,32;53.0;71.0
La Rioja;497.0;147,73;15.0;7.0
Total;19.98;41,71;1.141;1.002
