Unnamed: 0;Casos que han precisado hospitalización;Casos que han ingresado en UCI;Unnamed: 1;Fallecidos
CCAA;Con fecha de ingreso en;Con fecha de ingreso en;;Con fecha de defunción
;Total*;Total*;Total**;
;los últimos 7 días;UCI en  los últimos 7 días;;en  los últimos 7 días
Andalucía;6.261 7;772 1;1.404;0
Aragón;2.644 13;267 0;826;2
Asturias;1.097 2;122 0;310;2
Baleares;1.168 6;165 0;209;0
Canarias;948 5;180 1;151;1
Cantabria;1.042 4;79 0;202;0
Castilla La Mancha;9.292 25;650 3;2.945;1
Castilla y León;8.581 31;548 1;1.923;4
Cataluña;29.291 73;2.984 2;5.587;13
Ceuta;12 1;4 0;4;0
C. Valenciana;5.747 7;735 1;1.332;3
Extremadura;1.768 3;110 0;508;6
Galicia;2.919 2;329 0;609;4
Madrid;42.011 88;3.544 1;8.691;4
Melilla;44 0;3 0;2;0
Murcia;683 3;112 0;148;1
Navarra;2.036 2;135 0;490;0
País Vasco;6.959 11;574 0;1.424;0
La Rioja;1.484 4;91 0;360;2
ESPAÑA;123.987 287;11.404 10;27.125;43
