Unnamed: 0;Unnamed: 1;Casos;Casos diagnosticados en los;Casos diagnosticados en los.1;Casos diagnosticados con fecha de;Casos diagnosticados con fecha de.1
;Casos;;;;;
CCAA;;diagnosticados;últimos 14 días;últimos 7 días;inicio de síntomas en los últimos 14d.;inicio de síntomas en los últimos 7d.
;Totales*;;;;;
;;el día previo;No IA**;No IA**;No IA**;No IA**
Andalucía;12.743;9;141 1,68;86 1,02;36 0,43;14 0,17
Aragón;5.734;3;186 14,10;69 5,23;41 3,11;13 0,99
Asturias;2.425;0;32 3,13;26 2,54;6 0,59;2 0,20
Baleares;2.164;0;56 4,87;24 2,09;13 1,13;6 0,52
Canarias;2.361;4;56 2,60;33 1,53;7 0,33;1 0,05
Cantabria;2.316;0;34 5,85;10 1,72;10 1,72;5 0,86
Castilla La Mancha;17.393;4;426 20,96;161 7,92;86 4,23;14 0,69
Castilla y León;19.009;14;584 24,34;258 10,75;64 2,67;17 0,71
Cataluña;59.163;51;2.242 29,21;710 9,25;340 4,43;77 1,00
Ceuta;163;7;41 48,36;24 28,31;17 20,05;8 9,44
C. Valenciana;11.265;4;203 4,06;80 1,60;24 0,48;8 0,16
Extremadura;2.973;0;25 2,34;11 1,03;9 0,84;3 0,28
Galicia;9.134;1;55 2,04;11 0,41;11 0,41;2 0,07
Madrid;69.236;87;1.426 21,40;672 10,08;255 3,83;50 0,75
Melilla;122;0;1 1,16;1 1,16;0 0,00;0 0,00
Murcia;1.613;5;38 2,54;16 1,07;3 0,20;0 0,00
Navarra;5.265;4;100 15,29;43 6,57;15 2,29;4 0,61
País Vasco;13.527;2;93 4,21;32 1,45;20 0,91;5 0,23
La Rioja;4.054;0;18 5,68;9 2,84;8 2,53;1 0,32
ESPAÑA;240.660;195;5.757 12,24;2.276 4,84;965 2,05;230 0,49
