Unnamed: 0;Unnamed: 1;Casos;Casos diagnosticados en los;Casos diagnosticados en los.1;Casos diagnosticados con fecha de;Casos diagnosticados con fecha de.1
;Casos;;;;;
CCAA;;diagnosticados;últimos 14 días;últimos 7 días;inicio de síntomas en los últimos 14d.;inicio de síntomas en los últimos 7d.
;Totales*;;;;;
;;el día previo;No IA**;No IA**;No IA**;No IA**
Andalucía;12.639;7;138 1,64;40 0,48;20 0,24;5 0,06
Aragón;5.656;18;253 19,18;102 7,73;46 3,49;13 0,99
Asturias;2.400;1;23 2,25;6 0,59;6 0,59;2 0,20
Baleares;2.124;1;105 9,13;23 2,00;22 1,91;4 0,35
Canarias;2.327;1;55 2,55;22 1,02;10 0,46;2 0,09
Cantabria;2.297;5;40 6,88;24 4,13;11 1,89;3 0,52
Castilla La Mancha;17.068;0;400 19,68;142 6,99;66 3,25;10 0,49
Castilla y León;18.682;8;558 23,25;257 10,71;63 2,63;16 0,67
Cataluña;58.427;39;3.023 39,39;1.520 19,80;368 4,79;73 0,95
Ceuta;129;0;12 14,15;7 8,26;3 3,54;0 0,00
C. Valenciana;11.160;8;279 5,58;108 2,16;34 0,68;7 0,14
Extremadura;2.961;3;28 2,62;14 1,31;8 0,75;5 0,47
Galicia;9.115;3;85 3,15;39 1,44;14 0,52;3 0,11
Madrid;68.451;67;1.688 25,33;615 9,23;259 3,89;82 1,23
Melilla;121;0;2 2,31;0 0,00;0 0,00;0 0,00
Murcia;1.593;3;49 3,28;21 1,41;6 0,40;1 0,07
Navarra;5.223;17;135 20,64;58 8,87;21 3,21;8 1,22
País Vasco;13.489;1;169 7,65;56 2,54;29 1,31;8 0,36
La Rioja;4.044;0;27 8,52;8 2,53;8 2,53;2 0,63
ESPAÑA;237.906;182;7.069 15,03;3.062 6,51;994 2,11;244 0,52
