Unnamed: 0;Unnamed: 1;Casos;Casos diagnosticados en los;Casos diagnosticados en los.1;Casos diagnosticados con fecha de;Casos diagnosticados con fecha de.1
;Casos;;;;;
CCAA;;diagnosticados;últimos 14 días;últimos 7 días;inicio de síntomas en los últimos 14d.;inicio de síntomas en los últimos 7d.
;Totales*;;;;;
;;el día previo;No IA**;No IA**;No IA**;No IA**
Andalucía;12.759;3;142 1,69;84 1,00;32 0,38;13 0,15
Aragón;5.757;22;187 14,17;77 5,84;47 3,56;19 1,44
Asturias;2.424;0;31 3,03;24 2,35;5 0,49;2 0,20
Baleares;2.110;0;55 4,78;20 1,74;12 1,04;4 0,35
Canarias;2.362;1;51 2,37;27 1,25;6 0,28;1 0,05
Cantabria;2.320;4;34 5,85;13 2,24;13 2,24;8 1,38
Castilla La Mancha;17.431;6;434 21,35;143 7,03;91 4,48;14 0,69
Castilla y León;19.042;2;561 23,38;224 9,34;60 2,50;14 0,58
Cataluña;59.182;19;2.067 26,93;638 8,31;336 4,38;69 0,90
Ceuta;163;0;38 44,82;18 21,23;16 18,87;7 8,26
C. Valenciana;11.285;9;203 4,06;85 1,70;28 0,56;11 0,22
Extremadura;2.976;2;26 2,44;11 1,03;11 1,03;5 0,47
Galicia;9.146;2;47 1,74;11 0,41;12 0,44;1 0,04
Madrid;69.423;94;1.438 21,58;713 10,70;277 4,16;72 1,08
Melilla;122;0;1 1,16;1 1,16;0 0,00;0 0,00
Murcia;1.616;1;37 2,48;17 1,14;2 0,13;0 0,00
Navarra;5.275;10;105 16,05;38 5,81;12 1,83;3 0,46
País Vasco;13.529;0;81 3,67;25 1,13;18 0,82;4 0,18
La Rioja;4.056;2;17 5,37;8 2,53;7 2,21;2 0,63
ESPAÑA;240.978;177;5.555 11,81;2.177 4,63;985 2,09;249 0,53
