Unnamed: 0;Casos que han precisado hospitalización*;Casos que han ingresado en UCI*;Fallecidos*
CCAA;;;
;Total Nuevos;Total Nuevos;Total Nuevos
Andalucía;6.229 14;766 0;1.389 12
Aragón;2.451 4;257 1;858 0
Asturias;1.092 2;121 0;307 0
Baleares;1.141 2;168 0;222 0
Canarias;942 0;179 0;157 0
Cantabria;1.039 1;79 0;209 0
Castilla La Mancha;9.178 21;641 1;2.934 5
Castilla y León;8.749 4;557 0;1.961 0
Cataluña**;29.497 0;2.969 0;6.663 7
Ceuta;12 0;4 0;4 0
C. Valenciana;5.738 0;733 2;1.390 1
Extremadura;1.782 2;110 0;507 1
Galicia;2.952 5;335 1;610 1
Madrid;42.632 59;3.634 7;8.956 12
Melilla;44 0;3 0;2 0
Murcia;685 6;112 0;149 0
Navarra;2.050 1;137 1;509 1
País Vasco;7.039 4;578 0;1.494 7
La Rioja;1.505 0;91 0;357 1
ESPAÑA;124.757 125;11.474 13;28.678 48
