Unnamed: 0;TOTAL;Unnamed: 2;Unnamed: 3;Unnamed: 4;Unnamed: 5;Unnamed: 6;Unnamed: 7
CCAA;;IA (14 d.);precisado;ingresado en;Fallecidos;Curados;Nuevos
;confirmados*;;;;;;
;;;hospitalización*;UCI;;;
Andalucía;7.374;72,34;3.673;338;376;258;402
Aragón;2.889;191,69;1.431;180;224;378;189
Asturias;1.433;106,47;702;86;70;154;49
Baleares;1.257;91,70;587;112;69;375;53
Canarias;1.490;55,87;605;120;73;102;46
Cantabria;1.321;202,55;592;59;64;74;53
Castilla La Mancha;8.523;367,90;3.168¥;355¥;916;579;841
Castilla y León;7.875;280,39;2.711¥;355¥;723;1.759;520
Cataluña;23.460;263,05;17.257;2.053;2.335;7.849;1.656
Ceuta;62;67,24;8;3;1;2;7
C. Valenciana;6.624;110,30;2.064¥;386¥;511;592;316
Extremadura;1.893;149,48;415;64;200;164;56
Galicia;5.219;171,92;1.630;178¥;138;435;377
Madrid;34.188;405,54;15.050¥;1.506¥;4.483;13.850;2.033
Melilla;70;53,19;34;3;2;4;8
Murcia;1.145;62,99;405;72;46;90;61
Navarra;2.836;348,82;1.284;119;151;294;154
País Vasco;7.827;288,16;4.283;363;444;2.809;510
La Rioja;2.224;545,14;738;64;109;745;141
ESPAÑA;117.710;207,82;56.637;6.416;10.935;30.513;7.472
