Unnamed: 0;Casos que han precisado hospitalización;Casos que han ingresado en UCI;Unnamed: 1;Fallecidos
;;Con fecha de ingreso;;
CCAA;Con fecha de ingreso;;;Con fecha de defunción
;Total*;Total* en UCI en  los últimos;Total**;
;en  los últimos 7 días;;;en  los últimos 7 días
;;7 días;;
Andalucía;6.306 17;788 0;1.404;0
Aragón;2.668 11;272 1;826;0
Asturias;1.113 2;125 0;314;5
Baleares;1.167 1;169 0;209;0
Canarias;951 4;184 0;151;2
Cantabria;1.050 4;80 1;202;0
Castilla La Mancha;9.358 15;662 4;2.945;0
Castilla y León;8.700 18;621 1;1.928;6
Cataluña;29.200 19;2.976 2;5.587;5
Ceuta;14 1;4 0;4;0
C. Valenciana;5.795 9;739 0;1.332;0
Extremadura;1.772 1;138 0;508;2
Galicia;2.932 3;336 0;609;2
Madrid;42.106 34;3.594 4;8.691;31
Melilla;44 0;3 0;2;0
Murcia;682 1;115 0;148;0
Navarra;2.039 2;136 1;490;0
País Vasco;6.965 1;578 0;1.424;0
La Rioja;1.486 2;91 0;362;3
ESPAÑA;124.348 145;11.611 14;27.136;56
