Unnamed: 0;Casos que han precisado hospitalización;Casos que han ingresado en UCI;Unnamed: 1;Fallecidos
;;Con fecha de ingreso;;
CCAA;Con fecha de ingreso;;;Con fecha de defunción
;Total*;Total* en UCI en  los últimos;Total**;
;en  los últimos 7 días;;;en  los últimos 7 días
;;7 días;;
Andalucía;6.304 13;788 0;1.404;0
Aragón;2.674 15;273 1;826;0
Asturias;1.113 2;125 0;314;6
Baleares;1.167 1;169 0;209;0
Canarias;951 3;184 0;151;1
Cantabria;1.051 4;80 1;202;0
Castilla La Mancha;9.365 19;662 4;2.945;2
Castilla y León;8.706 20;622 1;1.928;6
Cataluña;29.210 19;2.977 3;5.587;4
Ceuta;14 0;4 0;4;0
C. Valenciana;5.797 10;739 0;1.332;0
Extremadura;1.772 0;138 0;508;2
Galicia;2.932 3;336 0;609;1
Madrid;42.132 34;3.594 2;8.691;23
Melilla;44 0;3 0;2;0
Murcia;682 1;115 0;148;1
Navarra;2.039 1;136 0;490;0
País Vasco;6.968 2;578 0;1.424;1
La Rioja;1.486 2;91 0;362;3
ESPAÑA;124.407 149;11.614 12;27.136;50
