Unnamed: 0;Unnamed: 1;Casos;Casos diagnosticados en los;Casos diagnosticados en los.1;Casos diagnosticados con fecha de;Casos diagnosticados con fecha de.1
;Casos;;;;;
CCAA;;diagnosticados;últimos 14 días;últimos 7 días;inicio de síntomas en los últimos 14d.;inicio de síntomas en los últimos 7d.
;Totales*;;;;;
;;el día previo;No IA**;No IA**;No IA**;No IA**
Andalucía;12.791;3;149 1,77;61 0,72;32 0,38;3 0,04
Aragón;5.792;5;160 12,13;79 5,99;40 3,03;12 0,91
Asturias;2.430;1;33 3,23;6 0,59;6 0,59;2 0,20
Baleares;2.135;2;57 4,96;22 1,91;15 1,30;4 0,35
Canarias;2.372;1;49 2,28;20 0,93;5 0,23;2 0,09
Cantabria;2.324;1;26 4,47;10 1,72;12 2,07;3 0,52
Castilla La Mancha;17.609;1;459 22,58;161 7,92;71 3,49;13 0,64
Castilla y León;19.193;4;556 23,17;208 8,67;48 2,00;12 0,50
Cataluña;59.232;17;1.763 22,97;685 8,92;310 4,04;76 0,99
Ceuta;163;0;34 40,11;8 9,44;9 10,62;2 2,36
C. Valenciana;11.342;1;194 3,88;95 1,90;34 0,68;7 0,14
Extremadura;2.978;1;21 1,97;6 0,56;8 0,75;2 0,19
Galicia;9.148;1;26 0,96;11 0,41;7 0,26;1 0,04
Madrid;69.804;45;1.517 22,77;711 10,67;247 3,71;75 1,13
Melilla;122;0;1 1,16;0 0,00;0 0,00;0 0,00
Murcia;1.619;0;27 1,81;15 1,00;4 0,27;1 0,07
Navarra;5.295;1;96 14,67;36 5,50;11 1,68;5 0,76
País Vasco;13.555;0;79 3,58;34 1,54;19 0,86;8 0,36
La Rioja;4.062;0;18 5,68;10 3,16;6 1,89;3 0,95
ESPAÑA;241.966;84;5.265 11,20;2.178 4,63;884 1,88;231 0,49
