Unnamed: 0;Unnamed: 1;Casos;Casos diagnosticados en los;Casos diagnosticados en los.1;Casos diagnosticados con fecha de;Casos diagnosticados con fecha de.1
;Casos;;;;;
CCAA;;diagnosticados;últimos 14 días;últimos 7 días;inicio de síntomas en los últimos 14d.;inicio de síntomas en los últimos 7d.
;Totales*;;;;;
;;el día previo;No IA**;No IA**;No IA**;No IA**
Andalucía;12.783;3;152 1,81;81 0,96;36 0,43;9 0,11
Aragón;5.781;11;178 13,49;81 6,14;46 3,49;19 1,44
Asturias;2.427;1;32 3,13;5 0,49;5 0,49;2 0,20
Baleares;2.125;0;50 4,35;17 1,48;10 0,87;3 0,26
Canarias;2.369;5;54 2,51;22 1,02;6 0,28;2 0,09
Cantabria;2.321;1;33 5,68;8 1,38;12 2,07;8 1,38
Castilla La Mancha;17.505;3;411 20,22;116 5,71;77 3,79;11 0,54
Castilla y León;19.161;3;578 24,09;232 9,67;61 2,54;15 0,63
Cataluña;59.209;10;1.933 25,18;583 7,60;340 4,43;82 1,07
Ceuta;163;0;38 44,82;18 21,23;12 14,15;2 2,36
C. Valenciana;11.314;6;199 3,98;84 1,68;30 0,60;10 0,20
Extremadura;2.977;0;23 2,15;9 0,84;11 1,03;4 0,37
Galicia;9.145;0;28 1,04;5 0,19;11 0,41;2 0,07
Madrid;69.641;49;1.482 22,24;706 10,60;245 3,68;61 0,92
Melilla;122;0;1 1,16;1 1,16;0 0,00;0 0,00
Murcia;1.616;0;30 2,01;14 0,94;1 0,07;0 0,00
Navarra;5.288;3;100 15,29;35 5,35;11 1,68;5 0,76
País Vasco;13.542;3;75 3,40;26 1,18;21 0,95;8 0,36
La Rioja;4.061;4;21 6,63;10 3,16;8 2,53;3 0,95
ESPAÑA;241.550;102;5.418 11,52;2.053 4,37;943 2,01;246 0,52
