Unnamed: 0;Unnamed: 1;Casos;Casos diagnosticados en los;Casos diagnosticados en los.1;Casos diagnosticados con fecha de;Casos diagnosticados con fecha de.1
;Casos;;;;;
CCAA;;diagnosticados;últimos 14 días;últimos 7 días;inicio de síntomas en los últimos 14d.;inicio de síntomas en los últimos 7d.
;Totales*;;;;;
;;el día previo;No IA**;No IA**;No IA**;No IA**
Andalucía;12.668;8;137 1,63;55 0,65;22 0,26;8 0,10
Aragón;5.680;9;228 17,28;102 7,73;43 3,26;15 1,14
Asturias;2.421;19;35 3,42;26 2,54;9 0,88;3 0,29
Baleares;2.137;0;69 6,00;28 2,44;15 1,30;2 0,17
Canarias;2.343;9;62 2,88;29 1,35;11 0,51;4 0,19
Cantabria;2.298;0;39 6,71;17 2,93;9 1,55;3 0,52
Castilla La Mancha;17.184;7;414 20,37;171 8,41;84 4,13;26 1,28
Castilla y León;18.804;12;568 23,67;259 10,79;66 2,75;16 0,67
Cataluña;59.003;88;3.050 39,74;1.231 16,04;371 4,83;95 1,24
Ceuta;145;0;28 33,03;20 23,59;13 15,33;8 9,44
C. Valenciana;11.199;5;257 5,14;93 1,86;30 0,60;9 0,18
Extremadura;2.964;0;26 2,44;11 1,03;11 1,03;6 0,56
Galicia;9.120;1;77 2,85;24 0,89;17 0,63;6 0,22
Madrid;68.740;95;1.567 23,52;614 9,21;303 4,55;101 1,52
Melilla;121;0;2 2,31;0 0,00;0 0,00;0 0,00
Murcia;1.597;1;39 2,61;17 1,14;6 0,40;0 0,00
Navarra;5.247;9;130 19,87;73 11,16;22 3,36;6 0,92
País Vasco;13.506;5;138 6,25;44 1,99;28 1,27;8 0,36
La Rioja;4.051;3;25 7,89;11 3,47;11 3,47;4 1,26
ESPAÑA;239.228;271;6.891 14,65;2.825 6,01;1.071 2,28;320 0,68
