Unnamed: 0;Unnamed: 1;Casos;Casos diagnosticados en los;Casos diagnosticados en los.1;Casos diagnosticados con fecha de;Casos diagnosticados con fecha de.1
;Casos;;;;;
CCAA;;diagnosticados;últimos 14 días;últimos 7 días;inicio de síntomas en los últimos 14d.;inicio de síntomas en los últimos 7d.
;Totales*;;;;;
;;el día previo;No IA**;No IA**;No IA**;No IA**
Andalucía;12.785;1;151 1,79;73 0,87;34 0,40;7 0,08
Aragón;5.785;4;178 13,49;81 6,14;43 3,26;17 1,29
Asturias;2.429;2;32 3,13;5 0,49;5 0,49;2 0,20
Baleares;2.133;0;57 4,96;23 2,00;14 1,22;6 0,52
Canarias;2.370;1;53 2,46;22 1,02;6 0,28;2 0,09
Cantabria;2.323;2;31 5,33;11 1,89;13 2,24;7 1,20
Castilla La Mancha;17.543;0;432 21,25;128 6,30;78 3,84;12 0,59
Castilla y León;19.181;5;584 24,34;231 9,63;54 2,25;13 0,54
Cataluña;59.215;6;1.900 24,76;642 8,36;343 4,47;86 1,12
Ceuta;163;0;38 44,82;17 20,05;10 11,80;2 2,36
C. Valenciana;11.332;9;195 3,90;94 1,88;32 0,64;8 0,16
Extremadura;2.977;0;23 2,15;9 0,84;11 1,03;3 0,28
Galicia;9.141;1;27 1,00;7 0,26;9 0,33;3 0,11
Madrid;69.695;8;1.518 22,78;717 10,76;233 3,50;57 0,86
Melilla;122;0;1 1,16;1 1,16;0 0,00;0 0,00
Murcia;1.619;0;27 1,81;17 1,14;4 0,27;2 0,13
Navarra;5.294;6;100 15,29;36 5,50;14 2,14;8 1,22
País Vasco;13.548;2;79 3,58;32 1,45;21 0,95;9 0,41
La Rioja;4.062;1;21 6,63;11 3,47;8 2,53;3 0,95
ESPAÑA;241.717;48;5.447 11,58;2.157 4,59;932 1,98;247 0,53
