Unnamed: 0;TOTAL;Unnamed: 2;Unnamed: 3;Unnamed: 4;Unnamed: 5;Unnamed: 6;Unnamed: 7
CCAA;;IA (14 d.);precisado;ingresado en;Fallecidos;Curados;Nuevos
;confirmados*;;;;;;
;;;hospitalización*;UCI;;;
Andalucía;8.581;78,68;4.227;489;491;798;280
Aragón;3.347;205,34;1.637;237;284;565;115
Asturias;1.646;102,85;846;90;86;222;41
Baleares;1.320;80,04;683;121;81;531;27
Canarias;1.649;54,24;651;133;85;157;27
Cantabria;1.483;195,50;658;65;77;118;42
Castilla La Mancha;10.602;419,31;2.901;354;1.132;1.259;571
Castilla y León;9.116;294,26;2.508;348;919;2.533;367
Cataluña;26.824;272,29;19.143;2.276;2.760;10.088;792
Ceuta;83;90,83;9;4;3;2;0
C. Valenciana;7.334;108,58;1.909;384;637;930;150
Extremadura;2.068;147,51;453;66;228;223;21
Galicia;6.151;183,11;1.916;170;190;610;207
Madrid;38.723;422,43;14.501;1.510;5.136;17.322;1.139
Melilla;86;67,06;38;3;2;11;3
Murcia;1.259;61,18;468;81;68;156;24
Navarra;3.231;358,45;1.432;124;187;380;158
País Vasco;8.810;289,39;4.794;410;548;3.568;182
La Rioja;2.719;622,48;888;66;141;964;127
ESPAÑA;135.032;216,78;59.662;6.931;13.055;40.437;4.273
