Unnamed: 0;TOTAL;Unnamed: 2;Unnamed: 3;Unnamed: 4;Unnamed: 5;Unnamed: 6;Unnamed: 7
CCAA;;IA (14 d.);precisado;precisado;Fallecidos;Curados;Nuevos
;confirmados*;;;;;;
;;;hospitalización*;ingreso en UCI;;;
Andalucía;5.818;61,03;2.867;235;248;160;413
Aragón;2.272;156,52;1.176;165;138;204;194
Asturias;1.236;101,97;529;65;55;90;78
Baleares;1.069;85,00;399;85;42;111;69
Canarias;1.262;51,73;483;94;55;57;58
Cantabria;1.171;191,54;522;50;37;35;71
Castilla La Mancha;6.424;288,12;3.225;344;708;296;566
Castilla y León;6.211;240,88;2.601;325;516;1.028;410
Cataluña;18.773;226,43;12.974;1.652;1.672;4.966;2.616
Ceuta;34;38,93;3;3;1;0;9
C. Valenciana;5.508;99,27;2.189;356;339;200;398
Extremadura;1.628;138,15;371;51;133;91;68
Galicia;4.039;138,80;1.250;149;84;187;316
Madrid;27.509;339,74;15.140;1.514;3.603;9.330;3.419
Melilla;54;42,78;27;3;1;0;3
Murcia;974;58,71;283;59;34;20;35
Navarra;2.305;304,49;1.035;99;113;192;159
País Vasco;6.320;251,61;3.594;307;325;1.796;263
La Rioja;1.810;459,28;575;51;85;496;77
ESPAÑA;94.417;177,01;49.243;5.607;8.189;19.259;9.222
