Unnamed: 0;Casos que han precisado hospitalización;Casos que han ingresado en UCI;Fallecidos
CCAA;;;
;Total Nuevos;Total Nuevos;Total Nuevos
Andalucía*;6.196 14;764 4;1.371 4
Aragón*;2.667 0;267 0;843 0
Asturias*;1.089 1;119 0;304 1
Baleares;1.144 5;169 0;221 2
Canarias;943 1;179 1;155 0
Cantabria;1.036 1;79 0;209 1
Castilla La Mancha;9.122 40;639 1;2.913 13
Castilla y León;8.734 5;555 4;1.960 0
Cataluña;29.497 38;2.969 9;6.021 40
Ceuta;11 0;4 0;4 0
C. Valenciana*;5.742 4;727 0;1.378 2
Extremadura*;1.780 1;110 0;504 0
Galicia;2.939 4;334 2;607 0
Madrid;42.422 72;3.610 10;8.912 18
Melilla;44 0;3 0;2 0
Murcia;679 0;112 0;148 3
Navarra;2.048 3;136 0;503 0
País Vasco;7.024 3;578 0;1.480 10
La Rioja;1.499 1;91 0;353 1
ESPAÑA;124.616 193;11.445 31;27.888 95
