Unnamed: 0;Casos que han precisado hospitalización*;Casos que han ingresado en UCI*;Fallecidos*
CCAA;;;
;Total Nuevos;Total Nuevos;Total Nuevos
Andalucía;6.215 5;767 1;1.377 2
Aragón;2.447 5;256 0;858 10
Asturias;1.090 1;121 0;307 0
Baleares;1.139 0;168 0;222 1
Canarias;943 0;179 0;155 0
Cantabria;1.038 2;79 0;209 0
Castilla La Mancha;9.157 19;640 1;2.929 10
Castilla y León;8.745 5;557 2;1.961 1
Cataluña**;29.497 0;2.969 0;6.656 3
Ceuta;12 1;4 0;4 0
C. Valenciana;5.747 0;731 1;1.389 6
Extremadura;1.780 0;110 0;506 1
Galicia;2.947 4;334 0;609 1
Madrid;42.573 76;3.627 10;8.944 13
Melilla;44 0;3 0;2 0
Murcia;679 0;112 5;149 0
Navarra;2.049 1;136 0;508 2
País Vasco;7.035 3;578 0;1.487 4
La Rioja;1.505 1;91 0;356 2
ESPAÑA;124.642 123;11.462 20;28.628 56
