Unnamed: 0;Unnamed: 1;Casos;Casos diagnosticados en los;Casos diagnosticados en los.1;Casos diagnosticados con fecha de;Casos diagnosticados con fecha de.1
;Casos;;;;;
CCAA;;diagnosticados;últimos 14 días;últimos 7 días;inicio de síntomas en los últimos 14d.;inicio de síntomas en los últimos 7d.
;Totales*;;;;;
;;el día previo;No IA**;No IA**;No IA**;No IA**
Andalucía;12.726;10;150 1,78;83 0,99;34 0,40;17 0,20
Aragón;5.731;20;200 15,16;85 6,44;44 3,34;14 1,06
Asturias;2.425;0;32 3,13;27 2,64;7 0,68;2 0,20
Baleares;2.157;2;58 5,05;26 2,26;12 1,04;4 0,35
Canarias;2.357;5;57 2,65;31 1,44;8 0,37;3 0,14
Cantabria;2.316;2;36 6,20;15 2,58;10 1,72;5 0,86
Castilla La Mancha;17.355;2;430 21,15;178 8,76;83 4,08;18 0,89
Castilla y León;18.956;4;573 23,88;250 10,42;65 2,71;15 0,63
Cataluña;59.112;38;2.301 29,98;745 9,71;328 4,27;74 0,96
Ceuta;155;0;34 40,11;25 29,49;13 15,33;4 4,72
C. Valenciana;11.254;13;229 4,58;87 1,74;25 0,50;8 0,16
Extremadura;2.974;2;28 2,62;15 1,40;11 1,03;3 0,28
Galicia;9.132;2;64 2,37;13 0,48;12 0,44;3 0,11
Madrid;69.112;112;1.516 22,75;688 10,33;250 3,75;53 0,80
Melilla;122;0;1 1,16;1 1,16;0 0,00;0 0,00
Murcia;1.605;2;34 2,28;11 0,74;2 0,13;1 0,07
Navarra;5.261;2;99 15,13;55 8,41;16 2,45;3 0,46
País Vasco;13.523;3;99 4,48;33 1,49;20 0,91;3 0,14
La Rioja;4.053;0;17 5,37;8 2,53;8 2,53;1 0,32
ESPAÑA;240.326;219;5.958 12,67;2.376 5,05;948 2,02;231 0,49
