Unnamed: 0;Casos que han precisado hospitalización;Casos que han ingresado en UCI;Fallecidos
CCAA;;;
;Total Nuevos;Total Nuevos;Total Nuevos
Andalucía;6.080 11;745 0;1.320 3
Aragón;2.588 5;263 0;824 1
Asturias;2.185 19;147 2;295 2
Baleares;1.141 0;169 0;209 2
Canarias;935 0;178 0;148 0
Cantabria;1.028 5;79 0;201 0
Castilla La Mancha;8.895 28;623 2;2.759 21
Castilla y León;8.468 74;546 0;1.897 12
Cataluña;28.784 97;2.991 8;5.532 25
Ceuta;11 0;4 0;4 0
C. Valenciana;5.354 37;716 7;1.323 8
Extremadura;1.711 16;109 0;480 3
Galicia;2.886 10;325 2;592 1
Madrid;41.559 123;3.520 12;8.644 46
Melilla;44 0;3 0;2 0
Murcia;662 0;113 0;139 1
Navarra;2.023 2;135 0;488 1
País Vasco;6.902 37;571 3;1.418 15
La Rioja;1.474 1;91 0;346 2
ESPAÑA;122.730 465;11.328 36;26.621 143
