Unnamed: 0;Casos que han precisado hospitalización;Casos que han ingresado en UCI;Fallecidos
CCAA;;;
;Total Nuevos;Total Nuevos;Total Nuevos
Andalucía;6.174 13;760 2;1.358 3
Aragón;2.655 7;266 0;838 0
Asturias;2.311 21;153 1;315 2
Baleares;1.136 2;170 1;218 2
Canarias;939 0;178 0;151 0
Cantabria;1.033 1;79 0;207 1
Castilla La Mancha;9.054 27;637 1;2.893 10
Castilla y León;8.690 41;550 1;1.946 6
Cataluña;29.449 110;3.062 13;5.944 29
Ceuta;11 0;4 0;4 0
C. Valenciana;5.454 19;723 1;1.366 1
Extremadura;1.775 3;110 1;500 3
Galicia;2.926 3;332 0;606 2
Madrid;42.227 70;3.584 7;8.847 21
Melilla;44 0;3 0;2 0
Murcia;676 0;112 0;144 0
Navarra;2.045 0;136 0;503 2
País Vasco;7.015 4;578 0;1.459 4
La Rioja;1.496 6;91 0;349 1
ESPAÑA;125.110 327;11.528 28;27.650 87
