Unnamed: 0;Confirmados COVID-19 Confirmados COVID-19;Unnamed: 1;Anticuerpos positivos sin;Unnamed: 2;Unnamed: 3
;;IA confirmados;;Total;
CCAA;PCR Test de;;síntomas en el momento;;
;Total Nuevos;COVID-19 (14 d.);;Positivos;
;anticuerpos;;de diagnóstico*;;
Andalucía;11.447 124 11.139 308;31,85;242;11.689;
Aragón;4.938 52 4.684 254;112,86;;4.938;Los datos de las CCAA están en continua
Asturias;2.365 17 2.192 173;67,07;;2.365;revisión y ciertas oscilaciones
Baleares;1.808 20 1.767 41;38,19;;1.808;pueden deberse a procesos
;;;;;depuración de datos y no a variaciones
Canarias;2.085 18 2.085 0;16,72;;2.085;
;;;;;reales acontecidas de un día a otro.
Cantabria;2.123 40 1.998 125;107,04;;2.123;
;;;;;
Castilla La Mancha;17.045 249 14.936 2.109;293,58;;17.045;
;;;;;*Se han notificado personas con
Castilla y León;16.259 402 14.951 1.308;278,30;;16.259;anticuerpos positivos  sin síntomas en el
Cataluña;43.112 1.436 43.112 0;192,69;;43.112;momento de realización de la prueba en
Ceuta;111 0 101 10;33,03;4;115;los que no se puede establecer un
C. Valenciana;10.084 66 9.750 334;52,78;315;10.399;momento de contagio ni si han padecido
Extremadura;3.196 10 2.692 478;101,15;73;3.269;o no la enfermedad. Para el cálculo de
Galicia;8.468 169 8.468 0;79,16;;8.468;nuevos casos de COVID-19 se han
Madrid;57.997 1.034 55.325 2.672;263,05;;57.997;corregido los datos de días previos
;;;;;separando estos casos.
Melilla;105 1 105 0;15,03;5;110;
;;;;;
Murcia;1.681 35 1.445 236;26,64;15;1.696;
;;;;;
Navarra;4.781 84 4.475 306;217,97;50;4.831;
País Vasco;12.810 182 11.607 1.203;171,62;;12.810;
La Rioja;3.763 29 3.684 79;289,46;720;4.483;
ESPAÑA;204.178 3.968 194.516 9.636;135,39;1.424;205.602;
