Unnamed: 0;Casos que han precisado hospitalización;Casos que han ingresado en UCI;Unnamed: 1;Fallecidos
;;Con fecha de ingreso;;
CCAA;Con fecha de ingreso;;;Con fecha de defunción
;Total*;Total* en UCI en  los últimos;Total**;
;en  los últimos 7 días;;;en  los últimos 7 días
;;7 días;;
Andalucía;6.263 6;772 1;1.404;1
Aragón;2.645 11;267 0;826;2
Asturias;1.107 6;124 0;310;1
Baleares;1.164 1;165 0;209;0
Canarias;949 6;180 1;151;1
Cantabria;1.043 5;79 0;202;0
Castilla La Mancha;9.307 19;651 3;2.945;0
Castilla y León;8.593 39;549 2;1.924;6
Cataluña;29.133 47;2.976 1;5.587;11
Ceuta;13 2;4 0;4;0
C. Valenciana;5.747 4;735 0;1.332;3
Extremadura;1.768 4;109 0;508;5
Galicia;2.927 7;329 0;609;2
Madrid;42.017 69;3.544 1;8.691;1
Melilla;44 0;3 0;2;0
Murcia;677 3;112 0;148;0
Navarra;2.037 2;135 0;490;0
País Vasco;6.961 11;574 0;1.424;0
La Rioja;1.484 3;91 0;361;2
ESPAÑA;123.879 245;11.399 9;27.127;35
