Unnamed: 0;Casos que han precisado hospitalización*;Casos que han ingresado en UCI*;Fallecidos*
CCAA;;;
;Total Nuevos;Total Nuevos;Total Nuevos
Andalucía;6.230 1;766 0;1.391 2
Aragón;2.452 1;257 0;858 0
Asturias;1.095 0;121 0;308 1
Baleares;1.141 0;168 0;222 0
Canarias;942 0;179 0;157 2
Cantabria;1.039 0;79 0;209 0
Castilla La Mancha;9.195 17;642 1;2.940 6
Castilla y León;8.751 2;557 0;1.961 0
Cataluña**;29.497 -;2.969 -;6.701 31
Ceuta;12 0;4 0;4 0
C. Valenciana;5.739 1;733 0;1.393 3
Extremadura;1.781 0;110 0;506 0
Galicia;2.953 1;336 1;613 3
Madrid;42.692 60;3.635 1;8.977 21
Melilla;44 0;3 0;2 0
Murcia;685 0;112 0;149 0
Navarra;2.050 0;137 0;509 0
País Vasco;7.042 3;578 0;1.494 0
La Rioja;1.505 0;91 0;358 1
ESPAÑA;124.845 86;11.477 3;28.752 70
