CCAA;Total casos;IA últimos 14 días;Ingreso en UCI;Fallecidos
Andalucía;554.0;6,44;11;7
Aragón;174.0;13,19;7;11
Asturias;177.0;17,21;3;1
Baleares;73.0;6,18;4;1
Canarias;119.0;5,20;9;1
Cantabria;58.0;8,26;2;0
Castilla-La Mancha;567.0;27,74;23;17
Castilla y León;334.0;13,79;24;9
Cataluña;903.0;11,57;33;12
Ceuta;1.0;1,18;0;0
C. Valenciana;409.0;7,87;4;5
Extremadura;111.0;9,83;1;2
Galicia;245.0;9,08;9;2
Madrid;4.165;62,07;253;213
Melilla;8.0;9,25;0;0
Murcia;77.0;5,15;2;0
Navarra;274.0;41,73;5;1
País Vasco;630.0;28,13;29;23
La Rioja;312.0;98,17;13;4
Total;9.191;19,30;432;309
