CCAA;Total casos;IA últimos 14 días;Ingreso en UCI;Fallecidos
Andalucía;1.008;11,84;25;23
Aragón;281.0;21,22;14;15
Asturias;292.0;28,06;6;1
Baleares;169.0;14,18;7;2
Canarias;220.0;9,84;23;3
Cantabria;83.0;12,56;4;1
Castilla-La Mancha;801.0;38,76;37;42
Castilla y León;868.0;35,72;54;29
Cataluña;2.702;34,89;33;55
Ceuta;1.0;1,18;0;0
C. Valenciana;921.0;18,03;52;24
Extremadura;241.0;22,01;3;8
Galicia;453.0;16,74;15;4
Madrid;6.777;100,35;590;498
Melilla;23.0;26,59;0;0
Murcia;167.0;11,18;6;0
Navarra;482.0;73,22;11;4
País Vasco;1.19;53,13;44;53
La Rioja;468.0;144,26;15;5
Total;17.147000000000002;35,96;939;767
