Unnamed: 0;Casos que han precisado hospitalización;Casos que han ingresado en UCI;Unnamed: 1;Fallecidos
;;Con fecha de ingreso;;
CCAA;Con fecha de ingreso;;;Con fecha de defunción
;Total*;Total* en UCI en  los últimos;Total**;
;en  los últimos 7 días;;;en  los últimos 7 días
;;7 días;;
Andalucía;6.306 19;788 0;1.404;0
Aragón;2.667 11;272 2;826;2
Asturias;1.111 2;125 0;314;6
Baleares;1.167 2;169 0;209;0
Canarias;949 2;184 0;151;0
Cantabria;1.049 3;79 0;202;0
Castilla La Mancha;9.355 15;661 4;2.945;0
Castilla y León;8.694 20;621 2;1.928;9
Cataluña;29.197 20;2.975 1;5.587;9
Ceuta;14 1;4 0;4;0
C. Valenciana;5.792 5;739 0;1.332;0
Extremadura;1.772 1;138 0;508;3
Galicia;2.932 4;336 0;609;2
Madrid;42.104 38;3.594 4;8.691;39
Melilla;44 0;3 0;2;0
Murcia;682 1;115 0;148;0
Navarra;2.039 2;136 1;490;0
País Vasco;6.963 1;578 0;1.424;0
La Rioja;1.486 1;91 0;362;2
ESPAÑA;124.323 148;11.608 14;27.136;72
