Unnamed: 0;Casos que han precisado hospitalización;Casos que han ingresado en UCI;Unnamed: 1;Fallecidos
;;Con fecha de ingreso;;
CCAA;Con fecha de ingreso;;;Con fecha de defunción
;Total*;Total* en UCI en  los últimos;Total**;
;en  los últimos 7 días;;;en  los últimos 7 días
;;7 días;;
Andalucía;6.312 7;789 0;1.404;1
Aragón;2.677 4;273 0;826;1
Asturias;1.117 0;128 0;314;3
Baleares;1.171 3;169 0;209;0
Canarias;950 0;184 0;151;1
Cantabria;1.053 2;80 0;202;0
Castilla La Mancha;9.389 8;660 1;2.945;2
Castilla y León;8.727 11;622 0;1.928;3
Cataluña;29.278 9;2.982 2;5.587;3
Ceuta;14 0;4 0;4;0
C. Valenciana;5.804 2;742 1;1.332;1
Extremadura;1.772 0;138 0;508;1
Galicia;2.935 2;336 0;609;0
Madrid;42.255 30;3.597 2;8.691;7
Melilla;45 1;3 0;2;0
Murcia;679 0;112 0;148;0
Navarra;2.041 2;136 0;490;0
País Vasco;6.976 4;578 0;1.424;2
La Rioja;1.488 1;91 0;362;0
ESPAÑA;124.683 86;11.624 6;27.136;25
