Unnamed: 0;Casos que han precisado hospitalización;Casos que han ingresado en UCI;Fallecidos;Unnamed: 1;Curados
CCAA;;;;;
;Total Nuevos;Total Nuevos;Total Nuevos;Total;Nuevos
Andalucía;5.298 72;675 4;940 28;2.790;156
Aragón***;2.151 43;240;562 19;1.132;45
Asturias;1.474 42;118 2;174 6;545;23
Baleares;905 33;152 0;134 3;938;20
Canarias;811 9;159 3;111 4;730;57
Cantabria;903 13;78 1;144 7;510;68
Castilla La Mancha;8.018 31;511 8;1.852 56;3.600;222
;;¥;;;
Castilla y León;6.518 69;297 0;1.401 29;4.924;199
Cataluña**;21.242 0;2.305 0;3.752 134;12.787;826
Ceuta;9 0;4 0;4 0;44;3
C. Valenciana;4.605 81;632 7;999 27;4.024;322
Extremadura;1.212 26;110 0;372 13;707;58
;;¥;;;
Galicia;2.535 41;117 0;320 10;1.456;73
;¥;¥;;;
Madrid;9.141 0;1.154 0;7.007 130;29.436;945
Melilla;44 0;3 0;2 0;30;3
Murcia;585 10;99 2;112 1;545;29
Navarra;1.781 29;124 0;338 77;892;47
País Vasco;5.939 76;484 6;992 36;6.144;331
La Rioja;1.226 19;76 1;262 5;1.729;75
ESPAÑA;;;19.478 585;72.963;3.502
