Area name,Area code,Area type,Specimen date,Daily lab-confirmed cases,Cumulative lab-confirmed cases
York,E06000014,Upper tier local authority,2020-04-07,0,86
Worcestershire,E10000034,Upper tier local authority,2020-04-07,0,440
Wolverhampton,E08000031,Upper tier local authority,2020-04-07,0,353
Wokingham,E06000041,Upper tier local authority,2020-04-07,0,126
Wirral,E08000015,Upper tier local authority,2020-04-07,0,289
Windsor and Maidenhead,E06000040,Upper tier local authority,2020-04-07,0,117
Wiltshire,E06000054,Upper tier local authority,2020-04-07,1,181
Wigan,E08000010,Upper tier local authority,2020-04-07,0,206
Westminster,E09000033,Upper tier local authority,2020-04-07,1,414
West Sussex,E10000032,Upper tier local authority,2020-04-07,0,319
West Berkshire,E06000037,Upper tier local authority,2020-04-07,1,121
Warwickshire,E10000031,Upper tier local authority,2020-04-07,0,440
Warrington,E06000007,Upper tier local authority,2020-04-07,0,183
Wandsworth,E09000032,Upper tier local authority,2020-04-07,0,594
Waltham Forest,E09000031,Upper tier local authority,2020-04-07,3,443
Walsall,E08000030,Upper tier local authority,2020-04-07,0,421
Wakefield,E08000036,Upper tier local authority,2020-04-07,0,200
Trafford,E08000009,Upper tier local authority,2020-04-07,0,258
Tower Hamlets,E09000030,Upper tier local authority,2020-04-07,6,407
Torbay,E06000027,Upper tier local authority,2020-04-07,3,64
Thurrock,E06000034,Upper tier local authority,2020-04-07,0,134
Telford and Wrekin,E06000020,Upper tier local authority,2020-04-07,0,98
Tameside,E08000008,Upper tier local authority,2020-04-07,0,191
Swindon,E06000030,Upper tier local authority,2020-04-07,0,87
Sutton,E09000029,Upper tier local authority,2020-04-07,0,299
Surrey,E10000030,Upper tier local authority,2020-04-07,0,1056
Sunderland,E08000024,Upper tier local authority,2020-04-07,1,344
Suffolk,E10000029,Upper tier local authority,2020-04-07,0,302
Stoke-on-Trent,E06000021,Upper tier local authority,2020-04-07,6,131
Stockton-on-Tees,E06000004,Upper tier local authority,2020-04-07,3,143
Stockport,E08000007,Upper tier local authority,2020-04-07,0,298
Staffordshire,E10000028,Upper tier local authority,2020-04-07,11,673
St. Helens,E08000013,Upper tier local authority,2020-04-07,0,268
Southwark,E09000028,Upper tier local authority,2020-04-07,0,755
Southend-on-Sea,E06000033,Upper tier local authority,2020-04-07,0,155
Southampton,E06000045,Upper tier local authority,2020-04-07,1,192
South Tyneside,E08000023,Upper tier local authority,2020-04-07,1,118
South Gloucestershire,E06000025,Upper tier local authority,2020-04-07,0,152
Somerset,E10000027,Upper tier local authority,2020-04-07,0,135
Solihull,E08000029,Upper tier local authority,2020-04-07,0,258
Slough,E06000039,Upper tier local authority,2020-04-07,0,170
Shropshire,E06000051,Upper tier local authority,2020-04-07,0,173
Sheffield,E08000019,Upper tier local authority,2020-04-07,6,941
Sefton,E08000014,Upper tier local authority,2020-04-07,0,306
Sandwell,E08000028,Upper tier local authority,2020-04-07,0,398
Salford,E08000006,Upper tier local authority,2020-04-07,0,273
Rutland,E06000017,Upper tier local authority,2020-04-07,0,8
Rotherham,E08000018,Upper tier local authority,2020-04-07,0,237
Rochdale,E08000005,Upper tier local authority,2020-04-07,0,195
Richmond upon Thames,E09000027,Upper tier local authority,2020-04-07,0,223
Redcar and Cleveland,E06000003,Upper tier local authority,2020-04-07,0,119
Redbridge,E09000026,Upper tier local authority,2020-04-07,1,366
Reading,E06000038,Upper tier local authority,2020-04-07,0,130
Portsmouth,E06000044,Upper tier local authority,2020-04-07,0,130
Plymouth,E06000026,Upper tier local authority,2020-04-07,2,110
Peterborough,E06000031,Upper tier local authority,2020-04-07,0,80
Oxfordshire,E10000025,Upper tier local authority,2020-04-07,0,534
Oldham,E08000004,Upper tier local authority,2020-04-07,0,248
Nottinghamshire,E10000024,Upper tier local authority,2020-04-07,4,510
Nottingham,E06000018,Upper tier local authority,2020-04-07,6,232
Northumberland,E06000057,Upper tier local authority,2020-04-07,18,271
Northamptonshire,E10000021,Upper tier local authority,2020-04-07,0,536
North Yorkshire,E10000023,Upper tier local authority,2020-04-07,1,329
North Tyneside,E08000022,Upper tier local authority,2020-04-07,14,241
North Somerset,E06000024,Upper tier local authority,2020-04-07,0,90
North Lincolnshire,E06000013,Upper tier local authority,2020-04-07,0,62
North East Lincolnshire,E06000012,Upper tier local authority,2020-04-07,0,47
Norfolk,E10000020,Upper tier local authority,2020-04-07,0,388
Newham,E09000025,Upper tier local authority,2020-04-07,13,607
Newcastle upon Tyne,E08000021,Upper tier local authority,2020-04-07,11,431
Milton Keynes,E06000042,Upper tier local authority,2020-04-07,0,195
Middlesbrough,E06000002,Upper tier local authority,2020-04-07,1,196
Merton,E09000024,Upper tier local authority,2020-04-07,0,384
Medway,E06000035,Upper tier local authority,2020-04-07,0,228
Manchester,E08000003,Upper tier local authority,2020-04-07,0,395
Luton,E06000032,Upper tier local authority,2020-04-07,1,204
Liverpool,E08000012,Upper tier local authority,2020-04-07,0,587
Lincolnshire,E10000019,Upper tier local authority,2020-04-07,1,318
Lewisham,E09000023,Upper tier local authority,2020-04-07,0,554
Leicestershire,E10000018,Upper tier local authority,2020-04-07,3,386
Leicester,E06000016,Upper tier local authority,2020-04-07,0,250
Leeds,E08000035,Upper tier local authority,2020-04-07,0,386
Lancashire,E10000017,Upper tier local authority,2020-04-07,0,1033
Lambeth,E09000022,Upper tier local authority,2020-04-07,0,730
Knowsley,E08000011,Upper tier local authority,2020-04-07,0,199
Kirklees,E08000034,Upper tier local authority,2020-04-07,6,233
Kingston upon Thames,E09000021,Upper tier local authority,2020-04-07,0,213
"Kingston upon Hull, City of",E06000010,Upper tier local authority,2020-04-07,0,58
Kent,E10000016,Upper tier local authority,2020-04-07,0,1030
Kensington and Chelsea,E09000020,Upper tier local authority,2020-04-07,0,283
Islington,E09000019,Upper tier local authority,2020-04-07,0,270
Isle of Wight,E06000046,Upper tier local authority,2020-04-07,0,33
Hounslow,E09000018,Upper tier local authority,2020-04-07,0,375
Hillingdon,E09000017,Upper tier local authority,2020-04-07,0,381
Hertfordshire,E10000015,Upper tier local authority,2020-04-07,0,1040
"Herefordshire, County of",E06000019,Upper tier local authority,2020-04-07,0,81
Havering,E09000016,Upper tier local authority,2020-04-07,0,298
Hartlepool,E06000001,Upper tier local authority,2020-04-07,4,49
Harrow,E09000015,Upper tier local authority,2020-04-07,1,527
Haringey,E09000014,Upper tier local authority,2020-04-07,0,323
Hampshire,E10000014,Upper tier local authority,2020-04-07,17,1240
Hammersmith and Fulham,E09000013,Upper tier local authority,2020-04-07,0,300
Halton,E06000006,Upper tier local authority,2020-04-07,0,126
Hackney,E09000012,Upper tier local authority,2020-04-07,1,399
Greenwich,E09000011,Upper tier local authority,2020-04-07,0,377
Gloucestershire,E10000013,Upper tier local authority,2020-04-07,0,404
Gateshead,E08000037,Upper tier local authority,2020-04-07,6,231
Essex,E10000012,Upper tier local authority,2020-04-07,0,1093
Enfield,E09000010,Upper tier local authority,2020-04-07,0,394
East Sussex,E10000011,Upper tier local authority,2020-04-07,0,226
East Riding of Yorkshire,E06000011,Upper tier local authority,2020-04-07,0,122
Ealing,E09000009,Upper tier local authority,2020-04-07,0,549
Dudley,E08000027,Upper tier local authority,2020-04-07,0,341
Dorset,E06000059,Upper tier local authority,2020-04-07,0,136
Doncaster,E08000017,Upper tier local authority,2020-04-07,0,167
Devon,E10000008,Upper tier local authority,2020-04-07,1,250
Derbyshire,E10000007,Upper tier local authority,2020-04-07,3,558
Derby,E06000015,Upper tier local authority,2020-04-07,2,300
Darlington,E06000005,Upper tier local authority,2020-04-07,4,77
Cumbria,E10000006,Upper tier local authority,2020-04-07,22,866
Croydon,E09000008,Upper tier local authority,2020-04-07,0,763
Coventry,E08000026,Upper tier local authority,2020-04-07,0,292
County Durham,E06000047,Upper tier local authority,2020-04-07,22,410
Cornwall and the Isles of Scilly,E06000052,Upper tier local authority,2020-04-07,1,224
City of London,E09000001,Upper tier local authority,2020-04-07,0,11
Cheshire West and Chester,E06000050,Upper tier local authority,2020-04-07,0,263
Cheshire East,E06000049,Upper tier local authority,2020-04-07,1,227
Central Bedfordshire,E06000056,Upper tier local authority,2020-04-07,0,173
Camden,E09000007,Upper tier local authority,2020-04-07,0,343
Cambridgeshire,E10000003,Upper tier local authority,2020-04-07,0,278
Calderdale,E08000033,Upper tier local authority,2020-04-07,4,108
Bury,E08000002,Upper tier local authority,2020-04-07,0,166
Buckinghamshire,E10000002,Upper tier local authority,2020-04-07,0,342
Bromley,E09000006,Upper tier local authority,2020-04-07,0,584
"Bristol, City of",E06000023,Upper tier local authority,2020-04-07,4,236
Brighton and Hove,E06000043,Upper tier local authority,2020-04-07,0,151
Brent,E09000005,Upper tier local authority,2020-04-07,0,843
Bradford,E08000032,Upper tier local authority,2020-04-07,0,258
Bracknell Forest,E06000036,Upper tier local authority,2020-04-07,0,80
"Bournemouth, Christchurch and Poole",E06000058,Upper tier local authority,2020-04-07,0,127
Bolton,E08000001,Upper tier local authority,2020-04-07,0,204
Blackpool,E06000009,Upper tier local authority,2020-04-07,0,94
Blackburn with Darwen,E06000008,Upper tier local authority,2020-04-07,0,93
Birmingham,E08000025,Upper tier local authority,2020-04-07,1,1461
Bexley,E09000004,Upper tier local authority,2020-04-07,0,306
Bedford,E06000055,Upper tier local authority,2020-04-07,0,135
Bath and North East Somerset,E06000022,Upper tier local authority,2020-04-07,0,77
Barnsley,E08000016,Upper tier local authority,2020-04-07,0,237
Barnet,E09000003,Upper tier local authority,2020-04-07,0,756
Barking and Dagenham,E09000002,Upper tier local authority,2020-04-07,2,246
Yorkshire and The Humber,E12000003,Region,2020-04-07,17,3471
West Midlands,E12000005,Region,2020-04-07,18,5560
South West,E12000009,Region,2020-04-07,12,2273
South East,E12000008,Region,2020-04-07,19,6420
North West,E12000002,Region,2020-04-07,23,6968
North East,E12000001,Region,2020-04-07,85,2630
London,E12000007,Region,2020-04-07,28,14317
East of England,E12000006,Region,2020-04-07,1,3982
East Midlands,E12000004,Region,2020-04-07,19,3098
England,E92000001,Nation,2020-04-07,228,50639
York,E06000014,Upper tier local authority,2020-04-06,8,86
Worcestershire,E10000034,Upper tier local authority,2020-04-06,1,440
Wolverhampton,E08000031,Upper tier local authority,2020-04-06,18,353
Wiltshire,E06000054,Upper tier local authority,2020-04-06,7,180
Westminster,E09000033,Upper tier local authority,2020-04-06,4,413
West Sussex,E10000032,Upper tier local authority,2020-04-06,4,319
West Berkshire,E06000037,Upper tier local authority,2020-04-06,1,120
Warrington,E06000007,Upper tier local authority,2020-04-06,4,183
Wandsworth,E09000032,Upper tier local authority,2020-04-06,5,594
Waltham Forest,E09000031,Upper tier local authority,2020-04-06,21,440
Walsall,E08000030,Upper tier local authority,2020-04-06,5,421
Wakefield,E08000036,Upper tier local authority,2020-04-06,1,200
Trafford,E08000009,Upper tier local authority,2020-04-06,1,258
Tower Hamlets,E09000030,Upper tier local authority,2020-04-06,20,401
Torbay,E06000027,Upper tier local authority,2020-04-06,1,61
Thurrock,E06000034,Upper tier local authority,2020-04-06,2,134
Telford and Wrekin,E06000020,Upper tier local authority,2020-04-06,1,98
Tameside,E08000008,Upper tier local authority,2020-04-06,5,191
Surrey,E10000030,Upper tier local authority,2020-04-06,4,1056
Sunderland,E08000024,Upper tier local authority,2020-04-06,6,343
Suffolk,E10000029,Upper tier local authority,2020-04-06,6,302
Stoke-on-Trent,E06000021,Upper tier local authority,2020-04-06,5,125
Stockton-on-Tees,E06000004,Upper tier local authority,2020-04-06,5,140
Staffordshire,E10000028,Upper tier local authority,2020-04-06,34,662
St. Helens,E08000013,Upper tier local authority,2020-04-06,1,268
Southwark,E09000028,Upper tier local authority,2020-04-06,20,755
Southend-on-Sea,E06000033,Upper tier local authority,2020-04-06,4,155
Southampton,E06000045,Upper tier local authority,2020-04-06,3,191
South Tyneside,E08000023,Upper tier local authority,2020-04-06,1,117
South Gloucestershire,E06000025,Upper tier local authority,2020-04-06,6,152
Somerset,E10000027,Upper tier local authority,2020-04-06,9,135
Sheffield,E08000019,Upper tier local authority,2020-04-06,25,935
Sefton,E08000014,Upper tier local authority,2020-04-06,4,306
Sandwell,E08000028,Upper tier local authority,2020-04-06,2,398
Salford,E08000006,Upper tier local authority,2020-04-06,2,273
Rotherham,E08000018,Upper tier local authority,2020-04-06,2,237
Redbridge,E09000026,Upper tier local authority,2020-04-06,18,365
Reading,E06000038,Upper tier local authority,2020-04-06,1,130
Portsmouth,E06000044,Upper tier local authority,2020-04-06,9,130
Plymouth,E06000026,Upper tier local authority,2020-04-06,5,108
Peterborough,E06000031,Upper tier local authority,2020-04-06,2,80
Oxfordshire,E10000025,Upper tier local authority,2020-04-06,1,534
Oldham,E08000004,Upper tier local authority,2020-04-06,6,248
Nottinghamshire,E10000024,Upper tier local authority,2020-04-06,18,506
Nottingham,E06000018,Upper tier local authority,2020-04-06,15,226
Northumberland,E06000057,Upper tier local authority,2020-04-06,25,253
Northamptonshire,E10000021,Upper tier local authority,2020-04-06,4,536
North Yorkshire,E10000023,Upper tier local authority,2020-04-06,15,328
North Tyneside,E08000022,Upper tier local authority,2020-04-06,31,227
North Somerset,E06000024,Upper tier local authority,2020-04-06,3,90
North Lincolnshire,E06000013,Upper tier local authority,2020-04-06,1,62
Norfolk,E10000020,Upper tier local authority,2020-04-06,4,388
Newham,E09000025,Upper tier local authority,2020-04-06,34,594
Newcastle upon Tyne,E08000021,Upper tier local authority,2020-04-06,30,420
Milton Keynes,E06000042,Upper tier local authority,2020-04-06,1,195
Middlesbrough,E06000002,Upper tier local authority,2020-04-06,4,195
Merton,E09000024,Upper tier local authority,2020-04-06,4,384
Manchester,E08000003,Upper tier local authority,2020-04-06,8,395
Luton,E06000032,Upper tier local authority,2020-04-06,4,203
Liverpool,E08000012,Upper tier local authority,2020-04-06,11,587
Lincolnshire,E10000019,Upper tier local authority,2020-04-06,3,317
Lewisham,E09000023,Upper tier local authority,2020-04-06,10,554
Leicestershire,E10000018,Upper tier local authority,2020-04-06,5,383
Leicester,E06000016,Upper tier local authority,2020-04-06,6,250
Leeds,E08000035,Upper tier local authority,2020-04-06,6,386
Lancashire,E10000017,Upper tier local authority,2020-04-06,7,1033
Lambeth,E09000022,Upper tier local authority,2020-04-06,14,730
Knowsley,E08000011,Upper tier local authority,2020-04-06,12,199
Kirklees,E08000034,Upper tier local authority,2020-04-06,15,227
Kingston upon Thames,E09000021,Upper tier local authority,2020-04-06,1,213
"Kingston upon Hull, City of",E06000010,Upper tier local authority,2020-04-06,7,58
Kent,E10000016,Upper tier local authority,2020-04-06,26,1030
Kensington and Chelsea,E09000020,Upper tier local authority,2020-04-06,3,283
Islington,E09000019,Upper tier local authority,2020-04-06,3,270
Hounslow,E09000018,Upper tier local authority,2020-04-06,4,375
Hillingdon,E09000017,Upper tier local authority,2020-04-06,4,381
Hertfordshire,E10000015,Upper tier local authority,2020-04-06,7,1040
"Herefordshire, County of",E06000019,Upper tier local authority,2020-04-06,10,81
Havering,E09000016,Upper tier local authority,2020-04-06,6,298
Hartlepool,E06000001,Upper tier local authority,2020-04-06,6,45
Harrow,E09000015,Upper tier local authority,2020-04-06,10,526
Haringey,E09000014,Upper tier local authority,2020-04-06,6,323
Hampshire,E10000014,Upper tier local authority,2020-04-06,65,1223
Halton,E06000006,Upper tier local authority,2020-04-06,5,126
Hackney,E09000012,Upper tier local authority,2020-04-06,9,398
Greenwich,E09000011,Upper tier local authority,2020-04-06,19,377
Gloucestershire,E10000013,Upper tier local authority,2020-04-06,7,404
Gateshead,E08000037,Upper tier local authority,2020-04-06,3,225
Essex,E10000012,Upper tier local authority,2020-04-06,11,1093
Enfield,E09000010,Upper tier local authority,2020-04-06,10,394
East Sussex,E10000011,Upper tier local authority,2020-04-06,8,226
East Riding of Yorkshire,E06000011,Upper tier local authority,2020-04-06,5,122
Ealing,E09000009,Upper tier local authority,2020-04-06,10,549
Dudley,E08000027,Upper tier local authority,2020-04-06,1,341
Dorset,E06000059,Upper tier local authority,2020-04-06,3,136
Doncaster,E08000017,Upper tier local authority,2020-04-06,5,167
Devon,E10000008,Upper tier local authority,2020-04-06,4,249
Derbyshire,E10000007,Upper tier local authority,2020-04-06,20,555
Derby,E06000015,Upper tier local authority,2020-04-06,17,298
Darlington,E06000005,Upper tier local authority,2020-04-06,18,73
Cumbria,E10000006,Upper tier local authority,2020-04-06,8,844
Croydon,E09000008,Upper tier local authority,2020-04-06,4,763
County Durham,E06000047,Upper tier local authority,2020-04-06,65,388
Cornwall and the Isles of Scilly,E06000052,Upper tier local authority,2020-04-06,15,223
Central Bedfordshire,E06000056,Upper tier local authority,2020-04-06,1,173
Camden,E09000007,Upper tier local authority,2020-04-06,7,343
Calderdale,E08000033,Upper tier local authority,2020-04-06,10,104
Bury,E08000002,Upper tier local authority,2020-04-06,1,166
Buckinghamshire,E10000002,Upper tier local authority,2020-04-06,5,342
Bromley,E09000006,Upper tier local authority,2020-04-06,8,584
"Bristol, City of",E06000023,Upper tier local authority,2020-04-06,10,232
Brighton and Hove,E06000043,Upper tier local authority,2020-04-06,1,151
Brent,E09000005,Upper tier local authority,2020-04-06,12,843
Bradford,E08000032,Upper tier local authority,2020-04-06,3,258
"Bournemouth, Christchurch and Poole",E06000058,Upper tier local authority,2020-04-06,3,127
Blackpool,E06000009,Upper tier local authority,2020-04-06,2,94
Birmingham,E08000025,Upper tier local authority,2020-04-06,4,1460
Bexley,E09000004,Upper tier local authority,2020-04-06,5,306
Bath and North East Somerset,E06000022,Upper tier local authority,2020-04-06,7,77
Barnsley,E08000016,Upper tier local authority,2020-04-06,8,237
Barnet,E09000003,Upper tier local authority,2020-04-06,6,756
Barking and Dagenham,E09000002,Upper tier local authority,2020-04-06,8,244
Yorkshire and The Humber,E12000003,Region,2020-04-06,111,3454
West Midlands,E12000005,Region,2020-04-06,81,5542
South West,E12000009,Region,2020-04-06,80,2261
South East,E12000008,Region,2020-04-06,129,6401
North West,E12000002,Region,2020-04-06,77,6945
North East,E12000001,Region,2020-04-06,194,2545
London,E12000007,Region,2020-04-06,285,14289
East of England,E12000006,Region,2020-04-06,41,3981
East Midlands,E12000004,Region,2020-04-06,88,3079
England,E92000001,Nation,2020-04-06,1124,50411
York,E06000014,Upper tier local authority,2020-04-05,4,78
Worcestershire,E10000034,Upper tier local authority,2020-04-05,9,439
Wolverhampton,E08000031,Upper tier local authority,2020-04-05,9,335
Wokingham,E06000041,Upper tier local authority,2020-04-05,7,126
Wirral,E08000015,Upper tier local authority,2020-04-05,21,289
Windsor and Maidenhead,E06000040,Upper tier local authority,2020-04-05,4,117
Wiltshire,E06000054,Upper tier local authority,2020-04-05,14,173
Wigan,E08000010,Upper tier local authority,2020-04-05,10,206
Westminster,E09000033,Upper tier local authority,2020-04-05,17,409
West Sussex,E10000032,Upper tier local authority,2020-04-05,12,315
West Berkshire,E06000037,Upper tier local authority,2020-04-05,6,119
Warwickshire,E10000031,Upper tier local authority,2020-04-05,3,440
Warrington,E06000007,Upper tier local authority,2020-04-05,18,179
Wandsworth,E09000032,Upper tier local authority,2020-04-05,16,589
Waltham Forest,E09000031,Upper tier local authority,2020-04-05,27,419
Walsall,E08000030,Upper tier local authority,2020-04-05,7,416
Wakefield,E08000036,Upper tier local authority,2020-04-05,11,199
Trafford,E08000009,Upper tier local authority,2020-04-05,16,257
Tower Hamlets,E09000030,Upper tier local authority,2020-04-05,19,381
Torbay,E06000027,Upper tier local authority,2020-04-05,3,60
Thurrock,E06000034,Upper tier local authority,2020-04-05,2,132
Telford and Wrekin,E06000020,Upper tier local authority,2020-04-05,4,97
Tameside,E08000008,Upper tier local authority,2020-04-05,9,186
Swindon,E06000030,Upper tier local authority,2020-04-05,2,87
Sutton,E09000029,Upper tier local authority,2020-04-05,2,299
Surrey,E10000030,Upper tier local authority,2020-04-05,46,1052
Sunderland,E08000024,Upper tier local authority,2020-04-05,12,337
Suffolk,E10000029,Upper tier local authority,2020-04-05,10,296
Stoke-on-Trent,E06000021,Upper tier local authority,2020-04-05,6,120
Stockton-on-Tees,E06000004,Upper tier local authority,2020-04-05,11,135
Stockport,E08000007,Upper tier local authority,2020-04-05,21,298
Staffordshire,E10000028,Upper tier local authority,2020-04-05,23,628
St. Helens,E08000013,Upper tier local authority,2020-04-05,17,267
Southwark,E09000028,Upper tier local authority,2020-04-05,23,735
Southend-on-Sea,E06000033,Upper tier local authority,2020-04-05,4,151
Southampton,E06000045,Upper tier local authority,2020-04-05,12,188
South Tyneside,E08000023,Upper tier local authority,2020-04-05,7,116
South Gloucestershire,E06000025,Upper tier local authority,2020-04-05,10,146
Somerset,E10000027,Upper tier local authority,2020-04-05,7,126
Solihull,E08000029,Upper tier local authority,2020-04-05,10,258
Slough,E06000039,Upper tier local authority,2020-04-05,3,170
Shropshire,E06000051,Upper tier local authority,2020-04-05,3,173
Sheffield,E08000019,Upper tier local authority,2020-04-05,3,910
Sefton,E08000014,Upper tier local authority,2020-04-05,17,302
Sandwell,E08000028,Upper tier local authority,2020-04-05,11,396
Salford,E08000006,Upper tier local authority,2020-04-05,13,271
Rutland,E06000017,Upper tier local authority,2020-04-05,1,8
Rochdale,E08000005,Upper tier local authority,2020-04-05,10,195
Richmond upon Thames,E09000027,Upper tier local authority,2020-04-05,6,223
Redcar and Cleveland,E06000003,Upper tier local authority,2020-04-05,8,119
Redbridge,E09000026,Upper tier local authority,2020-04-05,21,347
Reading,E06000038,Upper tier local authority,2020-04-05,6,129
Portsmouth,E06000044,Upper tier local authority,2020-04-05,10,121
Plymouth,E06000026,Upper tier local authority,2020-04-05,1,103
Peterborough,E06000031,Upper tier local authority,2020-04-05,5,78
Oxfordshire,E10000025,Upper tier local authority,2020-04-05,8,533
Oldham,E08000004,Upper tier local authority,2020-04-05,13,242
Nottinghamshire,E10000024,Upper tier local authority,2020-04-05,19,488
Nottingham,E06000018,Upper tier local authority,2020-04-05,11,211
Northumberland,E06000057,Upper tier local authority,2020-04-05,23,228
Northamptonshire,E10000021,Upper tier local authority,2020-04-05,22,532
North Yorkshire,E10000023,Upper tier local authority,2020-04-05,20,313
North Tyneside,E08000022,Upper tier local authority,2020-04-05,16,196
North Somerset,E06000024,Upper tier local authority,2020-04-05,4,87
Norfolk,E10000020,Upper tier local authority,2020-04-05,34,384
Newham,E09000025,Upper tier local authority,2020-04-05,23,560
Newcastle upon Tyne,E08000021,Upper tier local authority,2020-04-05,24,390
Milton Keynes,E06000042,Upper tier local authority,2020-04-05,1,194
Middlesbrough,E06000002,Upper tier local authority,2020-04-05,21,191
Merton,E09000024,Upper tier local authority,2020-04-05,14,380
Medway,E06000035,Upper tier local authority,2020-04-05,10,228
Manchester,E08000003,Upper tier local authority,2020-04-05,27,387
Luton,E06000032,Upper tier local authority,2020-04-05,1,199
Liverpool,E08000012,Upper tier local authority,2020-04-05,28,576
Lincolnshire,E10000019,Upper tier local authority,2020-04-05,13,314
Lewisham,E09000023,Upper tier local authority,2020-04-05,28,544
Leicestershire,E10000018,Upper tier local authority,2020-04-05,16,378
Leicester,E06000016,Upper tier local authority,2020-04-05,13,244
Leeds,E08000035,Upper tier local authority,2020-04-05,31,380
Lancashire,E10000017,Upper tier local authority,2020-04-05,75,1026
Lambeth,E09000022,Upper tier local authority,2020-04-05,17,716
Knowsley,E08000011,Upper tier local authority,2020-04-05,11,187
Kirklees,E08000034,Upper tier local authority,2020-04-05,10,212
Kingston upon Thames,E09000021,Upper tier local authority,2020-04-05,5,212
"Kingston upon Hull, City of",E06000010,Upper tier local authority,2020-04-05,4,51
Kent,E10000016,Upper tier local authority,2020-04-05,59,1004
Kensington and Chelsea,E09000020,Upper tier local authority,2020-04-05,5,280
Islington,E09000019,Upper tier local authority,2020-04-05,4,267
Isle of Wight,E06000046,Upper tier local authority,2020-04-05,2,33
Hounslow,E09000018,Upper tier local authority,2020-04-05,19,371
Hillingdon,E09000017,Upper tier local authority,2020-04-05,15,377
Hertfordshire,E10000015,Upper tier local authority,2020-04-05,36,1033
"Herefordshire, County of",E06000019,Upper tier local authority,2020-04-05,4,71
Havering,E09000016,Upper tier local authority,2020-04-05,13,292
Hartlepool,E06000001,Upper tier local authority,2020-04-05,3,39
Harrow,E09000015,Upper tier local authority,2020-04-05,25,516
Haringey,E09000014,Upper tier local authority,2020-04-05,9,317
Hampshire,E10000014,Upper tier local authority,2020-04-05,70,1158
Hammersmith and Fulham,E09000013,Upper tier local authority,2020-04-05,10,300
Halton,E06000006,Upper tier local authority,2020-04-05,13,121
Hackney,E09000012,Upper tier local authority,2020-04-05,19,389
Greenwich,E09000011,Upper tier local authority,2020-04-05,21,358
Gloucestershire,E10000013,Upper tier local authority,2020-04-05,29,397
Gateshead,E08000037,Upper tier local authority,2020-04-05,15,222
Essex,E10000012,Upper tier local authority,2020-04-05,18,1082
Enfield,E09000010,Upper tier local authority,2020-04-05,11,384
East Sussex,E10000011,Upper tier local authority,2020-04-05,10,218
East Riding of Yorkshire,E06000011,Upper tier local authority,2020-04-05,10,117
Ealing,E09000009,Upper tier local authority,2020-04-05,13,539
Dudley,E08000027,Upper tier local authority,2020-04-05,11,340
Dorset,E06000059,Upper tier local authority,2020-04-05,5,133
Devon,E10000008,Upper tier local authority,2020-04-05,13,245
Derbyshire,E10000007,Upper tier local authority,2020-04-05,14,535
Darlington,E06000005,Upper tier local authority,2020-04-05,2,55
Cumbria,E10000006,Upper tier local authority,2020-04-05,58,836
Croydon,E09000008,Upper tier local authority,2020-04-05,22,759
Coventry,E08000026,Upper tier local authority,2020-04-05,3,292
County Durham,E06000047,Upper tier local authority,2020-04-05,18,323
Cornwall and the Isles of Scilly,E06000052,Upper tier local authority,2020-04-05,11,208
Cheshire West and Chester,E06000050,Upper tier local authority,2020-04-05,20,263
Cheshire East,E06000049,Upper tier local authority,2020-04-05,7,226
Central Bedfordshire,E06000056,Upper tier local authority,2020-04-05,3,172
Camden,E09000007,Upper tier local authority,2020-04-05,15,336
Cambridgeshire,E10000003,Upper tier local authority,2020-04-05,24,278
Calderdale,E08000033,Upper tier local authority,2020-04-05,3,94
Bury,E08000002,Upper tier local authority,2020-04-05,13,165
Buckinghamshire,E10000002,Upper tier local authority,2020-04-05,3,337
Bromley,E09000006,Upper tier local authority,2020-04-05,26,576
"Bristol, City of",E06000023,Upper tier local authority,2020-04-05,12,222
Brighton and Hove,E06000043,Upper tier local authority,2020-04-05,8,150
Brent,E09000005,Upper tier local authority,2020-04-05,36,831
Bradford,E08000032,Upper tier local authority,2020-04-05,21,255
Bracknell Forest,E06000036,Upper tier local authority,2020-04-05,4,80
"Bournemouth, Christchurch and Poole",E06000058,Upper tier local authority,2020-04-05,4,124
Bolton,E08000001,Upper tier local authority,2020-04-05,6,204
Blackpool,E06000009,Upper tier local authority,2020-04-05,3,92
Blackburn with Darwen,E06000008,Upper tier local authority,2020-04-05,8,93
Birmingham,E08000025,Upper tier local authority,2020-04-05,45,1456
Bexley,E09000004,Upper tier local authority,2020-04-05,14,301
Bedford,E06000055,Upper tier local authority,2020-04-05,1,135
Bath and North East Somerset,E06000022,Upper tier local authority,2020-04-05,4,70
Barnet,E09000003,Upper tier local authority,2020-04-05,37,750
Barking and Dagenham,E09000002,Upper tier local authority,2020-04-05,13,236
Yorkshire and The Humber,E12000003,Region,2020-04-05,117,3343
West Midlands,E12000005,Region,2020-04-05,148,5461
South West,E12000009,Region,2020-04-05,119,2181
South East,E12000008,Region,2020-04-05,281,6272
North West,E12000002,Region,2020-04-05,434,6868
North East,E12000001,Region,2020-04-05,160,2351
London,E12000007,Region,2020-04-05,545,14004
East of England,E12000006,Region,2020-04-05,138,3940
East Midlands,E12000004,Region,2020-04-05,109,2991
England,E92000001,Nation,2020-04-05,2111,49287
York,E06000014,Upper tier local authority,2020-04-04,4,74
