Thailand,2067,89,20,1,Local transmission,0
Sri Lanka,159,8,5,1.0,Local transmission,0.0
Bangladesh,70,9,8,2.0,Local transmission,0.0
Myanmar,20,0,1,0.0,Local transmission,1.0
Maldives,19,0,0,0.0,Local transmission,2.0
Nepal,9,3,0,0.0,Local transmission,0.0
Bhutan,5,0,0,0.0,Imported cases only,2.0
Timor-Leste,1,0,0,0.0,Imported cases only,15.0
,Eastern Mediterranean Region,,,,,
"Iran (Islamic Republicof)",55743,2560,3452,158.0,Local transmission,0.0
Pakistan,2880,430,45,10.0,Local transmission,0.0
Saudi Arabia,2370,331,29,4.0,Local transmission,0.0
United Arab Emirates,1505,241,10,1.0,Local transmission,0.0
Qatar,1325,250,3,0.0,Local transmission,0.0
Egypt,1070,85,71,5.0,Local transmission,0.0
Morocco,960,116,66,16.0,Local transmission,0.0
Iraq,878,58,56,2.0,Local transmission,0.0
Bahrain,688,15,4,0.0,Local transmission,0.0
Kuwait,556,77,1,0.0,Local transmission,0.0
Tunisia,553,58,19,1.0,Local transmission,0.0
Lebanon,527,19,18,1.0,Local transmission,0.0
Jordan,323,13,5,0.0,Local transmission,0.0
Afghanistan,299,29,7,2.0,Local transmission,0.0
Oman,298,21,2,1.0,Local transmission,0.0
Djibouti,51,1,0,0.0,Local transmission,0.0
Libya,17,0,1,0.0,Local transmission,1.0
Syrian Arab Republic,16,0,2,0.0,Local transmission,2.0
Sudan,10,0,2,0.0,Local transmission,1.0
Somalia,7,0,0,0.0,Local transmission,1.0
,Territories**,,,,,
"occupied Palestinianterritory",217,24,1,0.0,Local transmission,0.0
,Region of the Americas,,,,,
"United States ofAmerica",273808,32105,7020,1166.0,Local transmission,0.0
Canada,12938,1206,214,62.0,Local transmission,0.0
Brazil,9056,1146,359,60.0,Local transmission,0.0
Chile,4161,424,27,5.0,Local transmission,0.0
Ecuador,3465,302,172,52.0,Local transmission,0.0
Mexico,1688,178,60,10.0,Local transmission,0.0
Panama,1673,198,41,4.0,Local transmission,0.0
Peru,1595,181,61,10.0,Local transmission,0.0
Dominican Republic,1488,0,68,0.0,Local transmission,1.0
Argentina,1353,88,42,5.0,Local transmission,0.0
Colombia,1267,106,25,6.0,Local transmission,0.0
Costa Rica,416,20,2,0.0,Local transmission,0.0
Uruguay,386,17,4,0.0,Local transmission,0.0
Cuba,288,19,6,0.0,Local transmission,0.0
Honduras,264,42,15,0.0,Local transmission,0.0
"Venezuela (BolivarianRepublic of)",144,0,3,0.0,Local transmission,2.0
"Bolivia (PlurinationalState of)",139,7,10,1.0,Local transmission,0.0
Trinidad and Tobago,100,3,6,0.0,Local transmission,0.0
Paraguay,96,4,3,0.0,Local transmission,0.0
El Salvador,56,10,3,1.0,Local transmission,0.0
Jamaica,53,6,3,0.0,Local transmission,0.0
Barbados,51,6,0,0.0,Local transmission,0.0
Guatemala,50,0,1,0.0,Local transmission,1.0
Bahamas,24,0,3,0.0,Local transmission,1.0
Guyana,23,4,4,0.0,Local transmission,0.0
Haiti,18,0,0,0.0,Imported cases only,1.0
Saint Lucia,13,0,0,0.0,Local transmission,3.0
Grenada,12,2,0,0.0,Local transmission,0.0
Dominica,11,0,0,0.0,Local transmission,9.0
Suriname,10,0,0,0.0,Local transmission,1.0
Saint Kitts and Nevis,9,1,0,0.0,Imported cases only,0.0
Antigua and Barbuda,7,0,0,0.0,Imported cases only,8.0
Nicaragua,5,0,1,0.0,Imported cases only,3.0
Belize,4,1,0,0.0,Local transmission,0.0
"Saint Vincent and theGrenadines",3,0,0,0.0,Imported cases only,1.0
,Territories**,,,,,
Puerto Rico,452,74,18,3.0,Local transmission,0.0
Martinique,145,7,3,0.0,Local transmission,0.0
Guadeloupe,130,0,7,0.0,Local transmission,1.0
Aruba,64,2,0,0.0,Local transmission,0.0
French Guiana,62,5,0,0.0,Local transmission,0.0
"United States VirginIslands",40,3,0,0.0,Local transmission,0.0
Bermuda,35,0,0,0.0,Local transmission,1.0
Cayman Islands,28,0,1,0.0,Local transmission,1.0
Saint Martin,24,2,2,0.0,Under investigation,0.0
Sint Maarten,23,0,2,0.0,Imported cases only,1.0
Curaçao,11,0,1,0.0,Imported cases only,5.0
Montserrat,6,1,0,0.0,Imported cases only,0.0
Saint Barthélemy,6,0,0,0.0,Under investigation,5.0
"Turks and CaicosIslands",5,0,0,0.0,Local transmission,5.0
Anguilla,3,0,0,0.0,Local transmission,1.0
British Virgin Islands,3,0,0,0.0,Imported cases only,4.0
"Bonaire, Sint Eustatiusand Saba",2,0,0,0.0,Imported cases only,1.0
"Falkland Islands(Malvinas)",1,1,0,0.0,Under investigation,0.0
,African Region,,,,,
South Africa,1585,80,9,2.0,Local transmission,0.0
Algeria,1251,265,130,47.0,Local transmission,0.0
Cameroon,555,309,9,2.0,Local transmission,0.0
Burkina Faso,302,41,15,0.0,Local transmission,0.0
Côte d’Ivoire,245,42,2,1.0,Local transmission,0.0
Senegal,219,12,2,1.0,Local transmission,0.0
Nigeria,210,20,4,2.0,Local transmission,0.0
Ghana,205,1,5,0.0,Local transmission,0.0
Mauritius,196,10,7,0.0,Local transmission,0.0
Democratic Republic,148,14,16,3.0,Local transmission,0.0
of the Congo,,,,,,
Niger,144,46,8,3.0,Local transmission,0.0
Kenya,122,0,4,0.0,Local transmission,1.0
Guinea,111,59,0,0.0,Local transmission,0.0
Rwanda,102,13,0,0.0,Local transmission,0.0
Madagascar,70,5,0,0.0,Local transmission,0.0
Uganda,48,3,0,0.0,Local transmission,0.0
Congo,45,4,5,2.0,Local transmission,0.0
Togo,40,1,3,1.0,Local transmission,0.0
Mali,39,3,4,1.0,Local transmission,0.0
Zambia,39,0,1,0.0,Local transmission,2.0
Ethiopia,38,3,0,0.0,Local transmission,0.0
Gabon,21,0,1,0.0,Imported cases only,1.0
Eritrea,20,0,0,0.0,Local transmission,2.0
United Republic of,20,0,1,0.0,Local transmission,3.0
Tanzania,,,,,,
Guinea-Bissau,18,3,0,0.0,Imported cases only,0.0
Equatorial Guinea,16,1,0,0.0,Local transmission,0.0
Namibia,14,1,0,0.0,Local transmission,0.0
Benin,13,0,0,0.0,Imported cases only,3.0
Angola,10,0,2,0.0,Imported cases only,1.0
Liberia,10,3,1,1.0,Local transmission,0.0
Mozambique,10,0,0,0.0,Local transmission,3.0
Seychelles,10,0,0,0.0,Imported cases only,3.0
Central African,9,1,0,0.0,Local transmission,0.0
Republic,,,,,,
Eswatini,9,0,0,0.0,Imported cases only,8.0
Zimbabwe,9,0,1,0.0,Local transmission,1.0
Chad,7,0,0,0.0,Imported cases only,4.0
Mauritania,6,0,1,0.0,Imported cases only,1.0
Cabo Verde,5,0,1,0.0,Imported cases only,8.0
Botswana,4,0,1,0.0,Imported cases only,2.0
Gambia,4,0,1,0.0,Imported cases only,2.0
Sierra Leone,4,2,0,0.0,Imported cases only,0.0
Burundi,3,0,0,0.0,Local transmission,1.0
Malawi,3,0,0,0.0,Local transmission,2.0
Territories**,,,,,,
Réunion,334,13,0,0.0,Local transmission,0.0
Mayotte,147,19,2,0.0,Local transmission,0.0
Subtotal for all,1 133046,82 061,62 773,5798.0,,
,,,,,,
regions,,,,,,
International,,,,,,
,712,0,11,0.0,Local transmission,20.0
conveyance (Diamond,,,,,,
Princess),,,,,,
Grand total,1 133758,82 061,62 784,5798.0,,
