"Date","Region","Total Hospital cases","New Hospital cases","Total ICU cases","New ICU cases","Total deaths","New deaths","Total cured","New cured"
"2020-04-17 21:00:00","Andalucía",5341,43,677,2,967,27,2948,158
"2020-04-17 21:00:00","Aragón",2180,29,243,3,601,39,1121,0
"2020-04-17 21:00:00","Asturias",1520,46,119,1,187,13,575,30
"2020-04-17 21:00:00","Baleares",937,32,157,5,148,14,958,20
"2020-04-17 21:00:00","Canarias",822,11,160,1,115,4,785,55
"2020-04-17 21:00:00","Cantabria",911,8,78,0,149,5,534,24
"2020-04-17 21:00:00","Castilla La Mancha",8093,75,514,3,1913,61,3838,238
"2020-04-17 21:00:00","Castilla y León",6831,313,495,1429,28,5103,179,0
"2020-04-17 21:00:00","Cataluña",22013,771,2349,44,3878,127,13275,488
"2020-04-17 21:00:00","Ceuta",9,0,4,0,4,0,53,9
"2020-04-17 21:00:00","Comunidad Valenciana",4708,103,636,4,1042,43,4306,282
"2020-04-17 21:00:00","Extremadura",1240,28,112,2,380,8,736,29
"2020-04-17 21:00:00","Galicia",2554,19,115,334,14,0,0,0
"2020-04-17 21:00:00","Madrid",8597,1094,7132,125,30475,1039,0,0
"2020-04-17 21:00:00","Melilla",44,0,3,0,2,0,30,0
"2020-04-17 21:00:00","Murcia",611,26,102,3,115,3,638,93
"2020-04-17 21:00:00","Navarra",1829,48,127,3,354,16,954,62
"2020-04-17 21:00:00","País Vasco",6030,91,490,6,1020,28,6556,412
"2020-04-17 21:00:00","La Rioja",1249,23,78,2,272,10,1777,48
