"Date","Region","Total confirmed cases","New cases","New cases percentage","Population Incidence Ratio"
"2020-05-15 21:00:00","Andalucía",12420,19,0.15,3.74
"2020-05-15 21:00:00","Aragón",5456,24,0.44,24.26
"2020-05-15 21:00:00","Asturias",2366,7,0.3,5.38
"2020-05-15 21:00:00","Baleares",1982,17,0.87,7.13
"2020-05-15 21:00:00","Canarias",2284,4,0.18,3.34
"2020-05-15 21:00:00","Cantabria",2265,2,0.09,11.01
"2020-05-15 21:00:00","Castilla La Mancha",16587,74,0.45,30.5
"2020-05-15 21:00:00","Castilla y León",18369,97,0.53,50.18
"2020-05-15 21:00:00","Cataluña",55685,123,0.22,40.65
"2020-05-15 21:00:00","Ceuta",116,0,0.0,17.69
"2020-05-15 21:00:00","Comunidad Valenciana",10850,37,0.34,8.77
"2020-05-15 21:00:00","Extremadura",2958,25,0.85,12.55
"2020-05-15 21:00:00","Galicia",9041,5,0.06,8.78
"2020-05-15 21:00:00","Madrid",66210,38,0.06,38.69
"2020-05-15 21:00:00","Melilla",119,0,0.0,4.62
"2020-05-15 21:00:00","Murcia",1541,8,0.52,3.41
"2020-05-15 21:00:00","Navarra",5137,21,0.41,38.06
"2020-05-15 21:00:00","País Vasco",13290,34,0.26,18.3
"2020-05-15 21:00:00","La Rioja",4019,4,0.1,23.04
