"Date","Region","Total Hospital cases","New Hospital cases","Total ICU cases","New ICU cases","Total deaths","New deaths"
"2020-05-05 21:00:00","Andalucía",6012,29,740,2,1281,14
"2020-05-05 21:00:00","Aragón",2552,13,260,0,788,18
"2020-05-05 21:00:00","Asturias",2081,35,142,0,287,3
"2020-05-05 21:00:00","Baleares",1122,12,168,0,199,1
"2020-05-05 21:00:00","Canarias",920,0,176,0,143,1
"2020-05-05 21:00:00","Cantabria",1018,3,79,0,199,1
"2020-05-05 21:00:00","Castilla La Mancha",8765,40,612,3,2647,31
"2020-05-05 21:00:00","Castilla y León",8246,93,538,1,1847,15
"2020-05-05 21:00:00","Cataluña",28085,340,2871,15,5345,75
"2020-05-05 21:00:00","Ceuta",10,0,4,0,4,0
"2020-05-05 21:00:00","Comunidad Valenciana",5225,11,701,0,1291,12
"2020-05-05 21:00:00","Extremadura",1650,21,108,0,463,1
"2020-05-05 21:00:00","Galicia",2811,19,319,2,582,9
"2020-05-05 21:00:00","Madrid",41031,180,3465,23,8466,46
"2020-05-05 21:00:00","Melilla",44,0,3,0,2,0
"2020-05-05 21:00:00","Murcia",650,0,111,0,136,0
"2020-05-05 21:00:00","Navarra",2005,10,135,1,476,5
"2020-05-05 21:00:00","País Vasco",6781,45,559,3,1364,11
"2020-05-05 21:00:00","La Rioja",1458,6,91,1,337,1
