"Date","Region","Total Hospital cases","New Hospital cases","Total ICU cases","New ICU cases","Total deaths","New deaths"
"2020-05-13 21:00:00","Andalucía",6127,14,751,1,1335,4
"2020-05-13 21:00:00","Aragón",2625,11,265,0,836,7
"2020-05-13 21:00:00","Asturias",2252,13,151,0,308,1
"2020-05-13 21:00:00","Baleares",1131,0,171,0,216,1
"2020-05-13 21:00:00","Canarias",937,0,178,0,151,0
"2020-05-13 21:00:00","Cantabria",1030,1,79,0,205,0
"2020-05-13 21:00:00","Castilla La Mancha",8980,17,634,2,2852,17
"2020-05-13 21:00:00","Castilla y León",8560,43,548,1,1925,6
"2020-05-13 21:00:00","Cataluña",29305,38,3048,14,5822,131
"2020-05-13 21:00:00","Ceuta",11,0,4,0,4,0
"2020-05-13 21:00:00","Comunidad Valenciana",5388,19,717,0,1349,8
"2020-05-13 21:00:00","Extremadura",1761,7,109,0,492,3
"2020-05-13 21:00:00","Galicia",2915,10,327,0,601,4
"2020-05-13 21:00:00","Madrid",41961,106,3563,9,8779,19
"2020-05-13 21:00:00","Melilla",44,0,3,0,2,0
"2020-05-13 21:00:00","Murcia",672,6,112,0,142,0
"2020-05-13 21:00:00","Navarra",2045,3,135,0,498,4
"2020-05-13 21:00:00","País Vasco",6994,39,577,2,1454,12
"2020-05-13 21:00:00","La Rioja",1484,3,91,0,348,0
