"Date","Region","Total confirmed cases","New cases","New cases percentage","Population Incidence Ratio"
"2020-05-01 21:00:00","Andalucía",12207,46,0.38,17.05
"2020-05-01 21:00:00","Aragón",5136,20,0.39,44.34
"2020-05-01 21:00:00","Asturias",2303,5,0.22,14.67
"2020-05-01 21:00:00","Baleares",1902,8,0.42,15.49
"2020-05-01 21:00:00","Canarias",2211,6,0.27,8.22
"2020-05-01 21:00:00","Cantabria",2201,17,0.78,53.69
"2020-05-01 21:00:00","Castilla La Mancha",15967,57,0.36,81.41
"2020-05-01 21:00:00","Castilla y León",17165,172,1.01,118.73
"2020-05-01 21:00:00","Cataluña",49850,543,1.1,129.08
"2020-05-01 21:00:00","Ceuta",101,0,0.0,9.44
"2020-05-01 21:00:00","Comunidad Valenciana",10411,64,0.62,16.53
"2020-05-01 21:00:00","Extremadura",2824,13,0.46,15.08
"2020-05-01 21:00:00","Galicia",8902,54,0.61,59.6
"2020-05-01 21:00:00","Madrid",62073,25,0.04,75.88
"2020-05-01 21:00:00","Melilla",115,0,0.0,12.72
"2020-05-01 21:00:00","Murcia",1490,3,0.2,4.08
"2020-05-01 21:00:00","Navarra",4888,40,0.83,82.39
"2020-05-01 21:00:00","País Vasco",12887,63,0.49,60.42
"2020-05-01 21:00:00","La Rioja",3947,11,0.28,114.9
