"Date","Region","Total confirmed cases","New cases","New cases percentage","Population Incidence Ratio"
"2020-05-18 21:00:00","Andalucía",12470,13,0.1,3.61
"2020-05-18 21:00:00","Aragón",5520,17,0.31,23.72
"2020-05-18 21:00:00","Asturias",2373,4,0.17,5.67
"2020-05-18 21:00:00","Baleares",2005,12,0.6,8.44
"2020-05-18 21:00:00","Canarias",2294,0,0.0,2.93
"2020-05-18 21:00:00","Cantabria",2273,2,0.09,11.36
"2020-05-18 21:00:00","Castilla La Mancha",16677,29,0.17,29.37
"2020-05-18 21:00:00","Castilla y León",18549,37,0.2,46.68
"2020-05-18 21:00:00","Cataluña",55825,51,0.09,31.93
"2020-05-18 21:00:00","Ceuta",117,1,0.86,18.87
"2020-05-18 21:00:00","Comunidad Valenciana",10962,5,0.05,6.28
"2020-05-18 21:00:00","Extremadura",2953,1,0.03,9.08
"2020-05-18 21:00:00","Galicia",9058,2,0.02,6.56
"2020-05-18 21:00:00","Madrid",66643,92,0.14,33.44
"2020-05-18 21:00:00","Melilla",121,0,0.0,2.31
"2020-05-18 21:00:00","Murcia",1558,2,0.13,4.15
"2020-05-18 21:00:00","Navarra",5202,24,0.46,40.66
"2020-05-18 21:00:00","País Vasco",13409,0,0.0,15.58
"2020-05-18 21:00:00","La Rioja",4027,3,0.07,18.94
