"Date","Region","Total confirmed cases","New cases","New cases percentage","Population Incidence Ratio"
"2020-04-23 21:00:00","Andalucía",11536,133,1.2,24.08
"2020-04-23 21:00:00","Aragón",4867,34,0.7,78.53
"2020-04-23 21:00:00","Asturias",2234,5,0.2,42.53
"2020-04-23 21:00:00","Baleares",1821,14,0.8,28.97
"2020-04-23 21:00:00","Canarias",2140,27,1.3,13.1
"2020-04-23 21:00:00","Cantabria",2084,61,3.0,73.14
"2020-04-23 21:00:00","Castilla La Mancha",15365,237,1.6,113.24
"2020-04-23 21:00:00","Castilla y León",15692,182,1.2,191.29
"2020-04-23 21:00:00","Cataluña",45544,652,1.5,178.76
"2020-04-23 21:00:00","Ceuta",100,0,0.0,10.62
"2020-04-23 21:00:00","Comunidad Valenciana",9939,70,0.7,32.14
"2020-04-23 21:00:00","Extremadura",2718,3,0.1,36.15
"2020-04-23 21:00:00","Galicia",8932,127,1.4,73.57
"2020-04-23 21:00:00","Madrid",58191,1097,1.9,201.22
"2020-04-23 21:00:00","Melilla",107,1,0.9,13.87
"2020-04-23 21:00:00","Murcia",1468,8,0.5,5.69
"2020-04-23 21:00:00","Navarra",4581,4,0.1,127.33
"2020-04-23 21:00:00","País Vasco",11880,92,0.8,80.53
"2020-04-23 21:00:00","La Rioja",3790,49,1.3,225.38
