"Date","Region","Total Hospital cases","New Hospital cases","Total ICU cases","New ICU cases","Total deaths","New deaths"
"2020-05-11 21:00:00","Andalucía",6101,9,745,0,1325,4
"2020-05-11 21:00:00","Aragón",2606,11,264,1,828,3
"2020-05-11 21:00:00","Asturias",2211,15,150,1,304,5
"2020-05-11 21:00:00","Baleares",1127,1,170,1,210,1
"2020-05-11 21:00:00","Canarias",937,1,178,0,151,2
"2020-05-11 21:00:00","Cantabria",1027,0,79,0,203,2
"2020-05-11 21:00:00","Castilla La Mancha",8940,22,629,5,2811,25
"2020-05-11 21:00:00","Castilla y León",8493,11,547,0,1914,9
"2020-05-11 21:00:00","Cataluña",29138,318,2995,0,5621,66
"2020-05-11 21:00:00","Ceuta",11,0,4,0,4,0
"2020-05-11 21:00:00","Comunidad Valenciana",5360,5,717,1,1335,6
"2020-05-11 21:00:00","Extremadura",1736,12,109,0,487,4
"2020-05-11 21:00:00","Galicia",2905,3,326,0,595,2
"2020-05-11 21:00:00","Madrid",41735,85,3543,14,8720,37
"2020-05-11 21:00:00","Melilla",44,0,3,0,2,0
"2020-05-11 21:00:00","Murcia",665,0,112,0,139,0
"2020-05-11 21:00:00","Navarra",2039,10,135,0,493,3
"2020-05-11 21:00:00","País Vasco",6928,7,574,1,1429,6
"2020-05-11 21:00:00","La Rioja",1478,3,91,0,347,1
