"Date","Region","Total confirmed cases","Population Incidence Ratio","Total Hospital cases","Total ICU cases","Total deaths","Total cured","New cases"
"2020-03-23 21:00:00","Andalucía",2471,28.52,1132,102,87,66,510
"2020-03-23 21:00:00","Aragón",758,54.57,384,66,37,3,120
"2020-03-23 21:00:00","Asturias",662,62.57,224,23,22,30,68
"2020-03-23 21:00:00","Baleares",478,40.45,127,35,10,19,78
"2020-03-23 21:00:00","Canarias",557,24.71,207,36,16,8,76
"2020-03-23 21:00:00","Cantabria",425,71.07,200,16,9,12,78
"2020-03-23 21:00:00","Castilla La Mancha",2465,119.34,1826,182,216,53,387
"2020-03-23 21:00:00","Castilla y León",2460,100.19,1057,137,124,140,405
"2020-03-23 21:00:00","Cataluña",7864,100.84,3599,551,282,728,1939
"2020-03-23 21:00:00","Ceuta",6,7.08,0,0,0,0,0
"2020-03-23 21:00:00","Comunidad Valenciana",2167,42.31,917,161,115,37,266
"2020-03-23 21:00:00","Extremadura",636,58.82,161,20,26,8,143
"2020-03-23 21:00:00","Galicia",1415,51.6,338,55,20,19,207
"2020-03-23 21:00:00","Madrid",12352,173.64,10443,1050,1535,2291,1777
"2020-03-23 21:00:00","Melilla",28,32.37,12,1,0,0,0
"2020-03-23 21:00:00","Murcia",385,25.17,99,26,3,1,40
"2020-03-23 21:00:00","Navarra",1014,153.16,405,45,31,11,128
"2020-03-23 21:00:00","País Vasco",2728,114.73,1425,106,133,344,307
"2020-03-23 21:00:00","La Rioja",802,207.7,206,24,30,24,55
