"Date","Region","Total confirmed cases","Population Incidence Ratio","Total Hospital cases","Total ICU cases","Total deaths","Total cured","New cases"
"2020-03-30 21:00:00","Andalucía",5818,61.03,2867,235,248,160,413
"2020-03-30 21:00:00","Aragón",2272,156.52,1176,165,138,204,194
"2020-03-30 21:00:00","Asturias",1236,101.97,529,65,55,90,78
"2020-03-30 21:00:00","Baleares",1069,85.0,399,85,42,111,69
"2020-03-30 21:00:00","Canarias",1262,51.73,483,94,55,57,58
"2020-03-30 21:00:00","Cantabria",1171,191.54,522,50,37,35,71
"2020-03-30 21:00:00","Castilla La Mancha",6423,288.12,3225,344,708,296,566
"2020-03-30 21:00:00","Castilla y León",6211,240.88,2601,325,516,1028,410
"2020-03-30 21:00:00","Cataluña",18773,226.43,12974,1652,1672,4966,2616
"2020-03-30 21:00:00","Ceuta",34,38.93,3,3,1,0,9
"2020-03-30 21:00:00","Comunidad Valenciana",5507,99.27,2189,356,339,200,398
"2020-03-30 21:00:00","Extremadura",1628,138.15,371,51,133,91,68
"2020-03-30 21:00:00","Galicia",4038,138.8,1250,149,84,187,316
"2020-03-30 21:00:00","Madrid",27509,339.74,15140,1514,3603,9330,3418
"2020-03-30 21:00:00","Melilla",54,42.78,27,3,1,0,3
"2020-03-30 21:00:00","Murcia",974,58.71,283,59,34,20,35
"2020-03-30 21:00:00","Navarra",2305,304.49,1035,99,113,192,159
"2020-03-30 21:00:00","País Vasco",6320,251.61,3594,307,325,1796,263
"2020-03-30 21:00:00","La Rioja",1810,459.28,575,51,85,496,77
