"Date","Region","Total Hospital cases","New Hospital cases","Total ICU cases","New ICU cases","Total deaths","New deaths","Total cured","New cured"
"2020-04-25 21:00:00","Andalucía",5747,33,716,0,1145,14,4741,446
"2020-04-25 21:00:00","Aragón",2395,23,257,2,712,3,1960,31
"2020-04-25 21:00:00","Asturias",1790,30,134,2,249,10,749,33
"2020-04-25 21:00:00","Baleares",1062,4,166,0,175,1,1123,21
"2020-04-25 21:00:00","Canarias",880,2,171,0,131,1,1048,12
"2020-04-25 21:00:00","Cantabria",991,9,78,0,183,1,1127,81
"2020-04-25 21:00:00","Castilla La Mancha",8417,32,565,6,2330,38,5196,320
"2020-04-25 21:00:00","Castilla y León",7653,98,515,4,1666,27,6207,175
"2020-04-25 21:00:00","Cataluña",25665,1245,2583,7,4566,68,17006,253
"2020-04-25 21:00:00","Ceuta",10,0,4,0,4,0,104,6
"2020-04-25 21:00:00","Comunidad Valenciana",5013,35,654,1,1186,14,6242,210
"2020-04-25 21:00:00","Extremadura",1480,33,108,1,422,6,1581,72
"2020-04-25 21:00:00","Galicia",2735,13,85,0,394,6,1803,20
"2020-04-25 21:00:00","Madrid",5892,0,873,0,7922,74,35367,465
"2020-04-25 21:00:00","Melilla",44,0,3,0,2,0,81,4
"2020-04-25 21:00:00","Murcia",627,2,106,1,127,1,920,78
"2020-04-25 21:00:00","Navarra",1942,5,129,0,431,2,1835,98
"2020-04-25 21:00:00","País Vasco",6426,51,533,8,1230,18,9602,661
"2020-04-25 21:00:00","La Rioja",1380,20,84,1,315,4,2037,38
