"Date","Region","Total confirmed cases","Population Incidence Ratio","Total ICU cases","Total deaths"
"2020-03-04 21:00:00","Andalucía",12,0.14,1,0
"2020-03-04 21:00:00","Aragón",1,0.08,1,0
"2020-03-04 21:00:00","Asturias",5,0.49,2,0
"2020-03-04 21:00:00","Baleares",6,0.52,0,0
"2020-03-04 21:00:00","Canarias",8,0.37,0,0
"2020-03-04 21:00:00","Cantabria",10,1.72,0,0
"2020-03-04 21:00:00","Castilla La Mancha",13,0.64,1,0
"2020-03-04 21:00:00","Castilla y León",11,0.46,1,0
"2020-03-04 21:00:00","Cataluña",24,0.31,0,0
"2020-03-04 21:00:00","Ceuta",0,0.0,0,0
"2020-03-04 21:00:00","Comunidad Valenciana",19,0.38,0,1
"2020-03-04 21:00:00","Extremadura",6,0.56,0,0
"2020-03-04 21:00:00","Galicia",1,0.04,0,0
"2020-03-04 21:00:00","Madrid",90,1.35,2,1
"2020-03-04 21:00:00","Melilla",0,0.0,0,0
"2020-03-04 21:00:00","Murcia",0,0.0,0,0
"2020-03-04 21:00:00","Navarra",3,0.46,1,0
"2020-03-04 21:00:00","País Vasco",17,0.77,0,1
"2020-03-04 21:00:00","La Rioja",11,3.47,0,0
