"Date","Region","Total confirmed cases","New cases","Total Tests","Total Fast Tests","Population Incidence Ratio",7,8
"2020-04-19 21:00:00","Andalucía",11323,118,11030,293,32.59,232.0,11.555
"2020-04-19 21:00:00","Aragón",4886,55,4654,232,116.65,0.0,4.886
"2020-04-19 21:00:00","Asturias",2348,50,2181,167,68.64,0.0,2.3480000000000003
"2020-04-19 21:00:00","Baleares",1788,15,1749,39,40.71,0.0,1.788
"2020-04-19 21:00:00","Canarias",2066,20,2066,0,19.41,0.0,2.0669999999999997
"2020-04-19 21:00:00","Cantabria",2083,33,1973,110,103.26,0.0,2.083
"2020-04-19 21:00:00","Castilla La Mancha",16796,171,14725,2070,304.69,0.0,16.796
"2020-04-19 21:00:00","Castilla y León",15857,236,14780,1075,280.93,0.0,15.857000000000001
"2020-04-19 21:00:00","Cataluña",41676,1075,41676,0,193.51,0.0,41.676
"2020-04-19 21:00:00","Ceuta",111,2,101,10,33.03,4.0,115.0
"2020-04-19 21:00:00","Comunidad Valenciana",10017,81,9708,310,53.64,321.0,10.339
"2020-04-19 21:00:00","Extremadura",3186,50,2691,494,104.71,57.0,3.2430000000000003
"2020-04-19 21:00:00","Galicia",8299,114,8299,0,79.57,0.0,8.299
"2020-04-19 21:00:00","Madrid",56963,2079,54300,2663,252.95,0.0,56.963
"2020-04-19 21:00:00","Melilla",104,0,104,0,20.81,5.0,109.0
"2020-04-19 21:00:00","Murcia",1646,2,1440,206,25.91,13.0,1.659
"2020-04-19 21:00:00","Navarra",4697,76,4449,248,224.09,38.0,4.735
"2020-04-19 21:00:00","País Vasco",12628,59,11571,1057,172.93,0.0,12.628
"2020-04-19 21:00:00","La Rioja",3734,29,3663,70,320.39,637.0,4.371
