"Date","Region","Total confirmed cases","New cases","New cases percentage","Population Incidence Ratio"
"2020-05-08 21:00:00","Andalucía",12298,11,0.09,7.55
"2020-05-08 21:00:00","Aragón",5291,17,0.32,27.97
"2020-05-08 21:00:00","Asturias",2342,6,0.26,8.02
"2020-05-08 21:00:00","Baleares",1944,9,0.47,8.44
"2020-05-08 21:00:00","Canarias",2250,10,0.45,4.41
"2020-05-08 21:00:00","Cantabria",2241,9,0.4,29.26
"2020-05-08 21:00:00","Castilla La Mancha",16277,41,0.25,37.83
"2020-05-08 21:00:00","Castilla y León",17807,91,0.51,75.72
"2020-05-08 21:00:00","Cataluña",51935,202,0.39,73.93
"2020-05-08 21:00:00","Ceuta",110,1,0.92,11.8
"2020-05-08 21:00:00","Comunidad Valenciana",10661,42,0.4,11.89
"2020-05-08 21:00:00","Extremadura",2907,7,0.24,17.7
"2020-05-08 21:00:00","Galicia",9216,32,0.35,33.01
"2020-05-08 21:00:00","Madrid",64522,73,0.11,51.76
"2020-05-08 21:00:00","Melilla",119,0,0.0,12.72
"2020-05-08 21:00:00","Murcia",1506,2,0.13,2.54
"2020-05-08 21:00:00","Navarra",5039,33,0.66,62.98
"2020-05-08 21:00:00","País Vasco",13110,10,0.08,33.74
"2020-05-08 21:00:00","La Rioja",4,8,0.2,56.5
