"Date","Region","Total Hospital cases","New Hospital cases","Total ICU cases","New ICU cases","Total deaths","New deaths","Total cured","New cured"
"2020-04-21 21:00:00","Andalucía",5565,56,696,4,1050,33,3569,158
"2020-04-21 21:00:00","Aragón",2304,33,252,2,656,13,1530,348
"2020-04-21 21:00:00","Asturias",1665,39,128,6,211,9,642,26
"2020-04-21 21:00:00","Baleares",1004,19,166,5,164,3,1017,12
"2020-04-21 21:00:00","Canarias",841,4,164,0,121,1,927,49
"2020-04-21 21:00:00","Cantabria",956,8,78,0,167,2,718,72
"2020-04-21 21:00:00","Castilla La Mancha",8243,44,537,3,2140,65,4337,95
"2020-04-21 21:00:00","Castilla y León",7263,90,505,2,1554,33,5614,185
"2020-04-21 21:00:00","Cataluña",23295,499,2460,23,4247,95,15089,643
"2020-04-21 21:00:00","Ceuta",9,0,4,0,4,0,76,3
"2020-04-21 21:00:00","Comunidad Valenciana",4896,30,649,1,1105,17,5011,292
"2020-04-21 21:00:00","Extremadura",1349,22,112,0,404,7,1051,130
"2020-04-21 21:00:00","Galicia",2674,22,96,0,368,8,1625,37
"2020-04-21 21:00:00","Madrid",7463,0,1024,0,7577,117,33032,755
"2020-04-21 21:00:00","Melilla",44,0,3,0,2,0,50,4
"2020-04-21 21:00:00","Murcia",622,8,104,0,123,3,761,59
"2020-04-21 21:00:00","Navarra",1894,17,128,0,401,4,1315,126
"2020-04-21 21:00:00","País Vasco",6201,60,513,6,1124,21,7651,374
"2020-04-21 21:00:00","La Rioja",1318,21,81,0,298,4,1899,33
