"Date","Region","Total Hospital cases","New Hospital cases","Total ICU cases","New ICU cases","Total deaths","New deaths"
"2020-05-07 21:00:00","Andalucía",6037,11,742,0,1301,7
"2020-05-07 21:00:00","Aragón",2578,14,263,1,815,15
"2020-05-07 21:00:00","Asturias",2141,24,144,1,292,0
"2020-05-07 21:00:00","Baleares",1135,3,168,0,202,1
"2020-05-07 21:00:00","Canarias",927,6,176,0,148,4
"2020-05-07 21:00:00","Cantabria",1022,2,79,0,201,1
"2020-05-07 21:00:00","Castilla La Mancha",8828,32,617,4,2713,36
"2020-05-07 21:00:00","Castilla y León",8357,57,543,2,1876,12
"2020-05-07 21:00:00","Cataluña",28608,360,2949,58,5471,77
"2020-05-07 21:00:00","Ceuta",11,1,4,0,4,0
"2020-05-07 21:00:00","Comunidad Valenciana",5287,35,706,2,1309,6
"2020-05-07 21:00:00","Extremadura",1678,14,109,1,472,5
"2020-05-07 21:00:00","Galicia",2856,24,321,1,588,2
"2020-05-07 21:00:00","Madrid",41303,145,3493,8,8552,48
"2020-05-07 21:00:00","Melilla",44,0,3,0,2,0
"2020-05-07 21:00:00","Murcia",659,7,113,2,137,0
"2020-05-07 21:00:00","Navarra",2015,0,135,0,484,4
"2020-05-07 21:00:00","País Vasco",6818,21,566,5,1390,7
"2020-05-07 21:00:00","La Rioja",1469,6,91,0,342,4
