"Date","Region","Total confirmed cases","Population Incidence Ratio","ICU cases","Total deaths"
"2020-03-13","Andalucía",219,2.53,8,0
"2020-03-13","Aragón",80,6.06,3,7
"2020-03-13","Asturias",67,6.55,2,1
"2020-03-13","Baleares",30,2.52,2,1
"2020-03-13","Canarias",70,2.97,2,0
"2020-03-13","Cantabria",29,4.99,0,0
"2020-03-13","Castilla La Mancha",194,9.54,10,5
"2020-03-13","Castilla y León",169,6.96,8,1
"2020-03-13","Cataluña",316,4.08,25,4
"2020-03-13","Ceuta",0,0.0,0,0
"2020-03-13","C. Valenciana",94,1.72,2,1
"2020-03-13","Extremadura",39,3.65,1,1
"2020-03-13","Galicia",85,3.15,2,0
"2020-03-13","Madrid",1990,29.79,180,81
"2020-03-13","Melilla",2,2.31,0,0
"2020-03-13","Murcia",35,2.34,1,0
"2020-03-13","Navarra",130,19.87,4,0
"2020-03-13","País Vasco",417,18.89,20,14
"2020-03-13","La Rioja",243,76.71,2,2
