"Date","Region","Total Hospital cases","New Hospital cases","Total ICU cases","New ICU cases","Total deaths","New deaths","Total cured","New cured"
"2020-04-15 21:00:00","Andalucía",5226,79,671,6,912,47,2634,410
"2020-04-15 21:00:00","Aragón",2108,102,291,9,543,29,1087,75
"2020-04-15 21:00:00","Asturias",1432,45,116,2,168,2,522,35
"2020-04-15 21:00:00","Baleares",872,15,152,3,131,6,918,37
"2020-04-15 21:00:00","Canarias",802,21,156,4,107,3,673,51
"2020-04-15 21:00:00","Cantabria",890,17,77,1,137,5,442,79
"2020-04-15 21:00:00","Castilla La Mancha",7987,91,503,8,1796,41,3378,380
"2020-04-15 21:00:00","Castilla y León",6449,143,307,0,1372,35,4725,204
"2020-04-15 21:00:00","Cataluña",23680,308,2798,9,3855,99,17297,646
"2020-04-15 21:00:00","Ceuta",9,0,4,0,4,0,41,11
"2020-04-15 21:00:00","Comunidad Valenciana",4524,59,625,37,972,27,3702,342
"2020-04-15 21:00:00","Extremadura",1186,31,110,1,359,17,649,34
"2020-04-15 21:00:00","Galicia",2494,23,123,0,310,11,1383,85
"2020-04-15 21:00:00","Madrid",9652,1206,0,6877,153,28491,1058,0
"2020-04-15 21:00:00","Melilla",43,0,3,0,2,0,27,3
"2020-04-15 21:00:00","Murcia",575,1,97,0,111,2,516,3
"2020-04-15 21:00:00","Navarra",1751,21,124,0,261,9,845,37
"2020-04-15 21:00:00","País Vasco",5863,113,478,7,956,54,5813,385
"2020-04-15 21:00:00","La Rioja",1207,25,75,0,257,11,1654,72
