"Date","Region","Total confirmed cases","New cases","New cases percentage","Population Incidence Ratio"
"2020-05-02 21:00:00","Andalucía",12175,35,0.29,16.66
"2020-05-02 21:00:00","Aragón",5164,28,0.55,44.34
"2020-05-02 21:00:00","Asturias",2305,2,0.09,14.67
"2020-05-02 21:00:00","Baleares",1908,6,0.32,15.49
"2020-05-02 21:00:00","Canarias",2221,9,0.41,8.22
"2020-05-02 21:00:00","Cantabria",2205,4,0.18,53.69
"2020-05-02 21:00:00","Castilla La Mancha",16017,50,0.31,81.41
"2020-05-02 21:00:00","Castilla y León",17283,118,0.69,118.73
"2020-05-02 21:00:00","Cataluña",50233,384,0.77,129.08
"2020-05-02 21:00:00","Ceuta",101,0,0.0,9.44
"2020-05-02 21:00:00","Comunidad Valenciana",10436,25,0.24,16.53
"2020-05-02 21:00:00","Extremadura",2844,20,0.71,15.08
"2020-05-02 21:00:00","Galicia",8967,65,0.73,59.6
"2020-05-02 21:00:00","Madrid",62205,19,0.03,76.81
"2020-05-02 21:00:00","Melilla",117,2,1.74,12.72
"2020-05-02 21:00:00","Murcia",1492,1,0.07,4.08
"2020-05-02 21:00:00","Navarra",4902,14,0.29,82.39
"2020-05-02 21:00:00","País Vasco",12937,51,0.4,60.42
"2020-05-02 21:00:00","La Rioja",3952,5,0.13,114.9
