"Date","Region","Total confirmed cases","New cases","New cases percentage","Population Incidence Ratio"
"2020-05-05 21:00:00","Andalucía",12235,26,0.21,11.9
"2020-05-05 21:00:00","Aragón",5231,24,0.46,35.63
"2020-05-05 21:00:00","Asturias",2310,2,0.09,8.99
"2020-05-05 21:00:00","Baleares",1921,11,0.58,11.57
"2020-05-05 21:00:00","Canarias",2231,0,0.0,6.36
"2020-05-05 21:00:00","Cantabria",2213,6,0.27,34.59
"2020-05-05 21:00:00","Castilla La Mancha",16144,64,0.4,53.67
"2020-05-05 21:00:00","Castilla y León",17520,91,0.52,99.14
"2020-05-05 21:00:00","Cataluña",50924,153,0.3,92.79
"2020-05-05 21:00:00","Ceuta",109,8,7.92,10.62
"2020-05-05 21:00:00","Comunidad Valenciana",10537,37,0.35,14.23
"2020-05-05 21:00:00","Extremadura",2865,13,0.46,16.2
"2020-05-05 21:00:00","Galicia",9097,46,0.51,46.45
"2020-05-05 21:00:00","Madrid",63416,116,0.18,63.48
"2020-05-05 21:00:00","Melilla",119,0,0.0,16.19
"2020-05-05 21:00:00","Murcia",1498,2,0.13,2.88
"2020-05-05 21:00:00","Navarra",4966,30,0.61,66.49
"2020-05-05 21:00:00","País Vasco",13008,43,0.33,46.83
"2020-05-05 21:00:00","La Rioja",3980,13,0.33,87.12
