"Date","Region","Total confirmed cases","New cases","New cases percentage","Population Incidence Ratio"
"2020-05-11 21:00:00","Andalucía",12293,8,0.06,5.82
"2020-05-11 21:00:00","Aragón",5359,23,0.43,26.91
"2020-05-11 21:00:00","Asturias",2351,5,0.21,7.72
"2020-05-11 21:00:00","Baleares",1953,0,0.0,7.22
"2020-05-11 21:00:00","Canarias",2268,8,0.35,3.76
"2020-05-11 21:00:00","Cantabria",2246,1,0.04,22.54
"2020-05-11 21:00:00","Castilla La Mancha",16430,44,0.27,35.66
"2020-05-11 21:00:00","Castilla y León",18048,53,0.29,60.8
"2020-05-11 21:00:00","Cataluña",55144,184,0.34,55.65
"2020-05-11 21:00:00","Ceuta",114,4,3.64,16.51
"2020-05-11 21:00:00","Comunidad Valenciana",10740,11,0.1,10.71
"2020-05-11 21:00:00","Extremadura",2918,1,0.03,15.73
"2020-05-11 21:00:00","Galicia",9291,11,0.12,27.93
"2020-05-11 21:00:00","Madrid",64971,48,0.07,43.46
"2020-05-11 21:00:00","Melilla",119,0,0.0,5.78
"2020-05-11 21:00:00","Murcia",1517,0,0.0,2.81
"2020-05-11 21:00:00","Navarra",5081,16,0.32,49.22
"2020-05-11 21:00:00","País Vasco",13175,9,0.07,27.72
"2020-05-11 21:00:00","La Rioja",4008,0,0.0,35.04
