"Date","Region","Total Hospital cases","New Hospital cases","Total ICU cases","New ICU cases","Total deaths","New deaths","Total cured","New cured"
"2020-04-26 21:00:00","Andalucía",5768,20,720,4,1157,12,4890,149
"2020-04-26 21:00:00","Aragón",2403,8,257,0,726,14,2009,50
"2020-04-26 21:00:00","Asturias",1814,24,137,3,253,4,759,10
"2020-04-26 21:00:00","Baleares",1062,0,166,0,179,4,1136,13
"2020-04-26 21:00:00","Canarias",881,1,171,0,131,0,1047,0
"2020-04-26 21:00:00","Cantabria",995,4,78,0,186,3,1241,11
"2020-04-26 21:00:00","Castilla La Mancha",8444,27,579,14,2365,35,5282,86
"2020-04-26 21:00:00","Castilla y León",7703,50,518,3,1690,24,6272,64
"2020-04-26 21:00:00","Cataluña",25799,134,2723,141,4699,133,17897,891
"2020-04-26 21:00:00","Ceuta",10,0,4,0,4,0,107,3
"2020-04-26 21:00:00","Comunidad Valenciana",5032,19,656,2,1189,3,6317,74
"2020-04-26 21:00:00","Extremadura",1490,10,108,0,428,6,1652,70
"2020-04-26 21:00:00","Galicia",2746,11,83,0,405,11,1816,13
"2020-04-26 21:00:00","Madrid",39472,0,3308,0,7986,64,35565,198
"2020-04-26 21:00:00","Melilla",44,0,3,0,2,0,87,6
"2020-04-26 21:00:00","Murcia",627,0,106,0,128,1,990,70
"2020-04-26 21:00:00","Navarra",1942,0,130,1,432,1,1918,83
"2020-04-26 21:00:00","País Vasco",6457,31,538,5,1241,11,9840,238
"2020-04-26 21:00:00","La Rioja",1392,12,85,1,320,5,2049,12
