"Date","Region","Total confirmed cases","New cases","New cases percentage","Population Incidence Ratio"
"2020-04-26 21:00:00","Andalucía",11852,78,0.7,20.88
"2020-04-26 21:00:00","Aragón",4985,30,0.6,60.49
"2020-04-26 21:00:00","Asturias",2254,5,0.2,28.94
"2020-04-26 21:00:00","Baleares",1859,5,0.3,26.88
"2020-04-26 21:00:00","Canarias",2178,11,0.5,10.87
"2020-04-26 21:00:00","Cantabria",2104,21,1.0,56.27
"2020-04-26 21:00:00","Castilla La Mancha",15664,55,0.4,79.2
"2020-04-26 21:00:00","Castilla y León",16404,182,1.1,157.36
"2020-04-26 21:00:00","Cataluña",47755,944,2.0,169.75
"2020-04-26 21:00:00","Ceuta",100,0,0.0,5.9
"2020-04-26 21:00:00","Comunidad Valenciana",10180,20,0.2,22.38
"2020-04-26 21:00:00","Extremadura",2748,13,0.5,8.52
"2020-04-26 21:00:00","Galicia",9238,62,0.7,64.6
"2020-04-26 21:00:00","Madrid",59421,295,0.5,184.22
"2020-04-26 21:00:00","Melilla",110,0,0.0,10.41
"2020-04-26 21:00:00","Murcia",1474,0,0.0,0.74
"2020-04-26 21:00:00","Navarra",4733,21,0.4,97.98
"2020-04-26 21:00:00","País Vasco",12513,58,0.5,67.72
"2020-04-26 21:00:00","La Rioja",3892,31,0.8,168.56
