"Date","Region","Total Hospital cases","New Hospital cases","Total ICU cases","New ICU cases","Total deaths","New deaths"
"2020-05-16 21:00:00","Andalucía",6173,13,760,2,1358,3
"2020-05-16 21:00:00","Aragón",2655,7,266,0,838,0
"2020-05-16 21:00:00","Asturias",2311,21,153,1,315,2
"2020-05-16 21:00:00","Baleares",1136,2,170,1,218,2
"2020-05-16 21:00:00","Canarias",939,0,178,0,151,0
"2020-05-16 21:00:00","Cantabria",1033,1,79,0,207,1
"2020-05-16 21:00:00","Castilla La Mancha",9054,27,637,1,2893,10
"2020-05-16 21:00:00","Castilla y León",8690,41,550,1,1946,6
"2020-05-16 21:00:00","Cataluña",29449,110,3062,13,5944,29
"2020-05-16 21:00:00","Ceuta",11,0,4,0,4,0
"2020-05-16 21:00:00","Comunidad Valenciana",5454,19,723,1,1365,1
"2020-05-16 21:00:00","Extremadura",1775,3,110,1,500,3
"2020-05-16 21:00:00","Galicia",2926,3,332,0,606,2
"2020-05-16 21:00:00","Madrid",42227,70,3583,7,8847,21
"2020-05-16 21:00:00","Melilla",44,0,3,0,2,0
"2020-05-16 21:00:00","Murcia",676,0,112,0,144,0
"2020-05-16 21:00:00","Navarra",2045,0,136,0,503,2
"2020-05-16 21:00:00","País Vasco",7015,4,578,0,1459,4
"2020-05-16 21:00:00","La Rioja",1496,6,91,0,349,1
