"Date","Region","Total confirmed cases","New cases","New cases percentage","Population Incidence Ratio"
"2020-04-29 21:00:00","Andalucía",12048,44,0.4,17.3
"2020-04-29 21:00:00","Aragón",5091,49,1.0,51.54
"2020-04-29 21:00:00","Asturias",2283,17,0.8,19.75
"2020-04-29 21:00:00","Baleares",1883,4,0.2,21.4
"2020-04-29 21:00:00","Canarias",2205,3,0.1,10.08
"2020-04-29 21:00:00","Cantabria",2173,27,1.3,73.83
"2020-04-29 21:00:00","Castilla La Mancha",15832,47,0.3,133.7
"2020-04-29 21:00:00","Castilla y León",16885,195,1.2,145.11
"2020-04-29 21:00:00","Cataluña",48916,262,0.5,150.64
"2020-04-29 21:00:00","Ceuta",101,0,0.0,12.98
"2020-04-29 21:00:00","Comunidad Valenciana",10331,95,0.9,18.97
"2020-04-29 21:00:00","Extremadura",2785,21,0.8,19.11
"2020-04-29 21:00:00","Galicia",8697,22,0.3,59.83
"2020-04-29 21:00:00","Madrid",61171,406,0.7,157.23
"2020-04-29 21:00:00","Melilla",114,0,0.0,12.72
"2020-04-29 21:00:00","Murcia",1486,6,0.4,4.22
"2020-04-29 21:00:00","Navarra",4815,21,0.4,103.02
"2020-04-29 21:00:00","País Vasco",12700,82,0.6,77.59
"2020-04-29 21:00:00","La Rioja",3918,8,0.2,119.63
