"Date","Region","Total Hospital cases","New Hospital cases","Total ICU cases","New ICU cases","Total deaths","New deaths"
"2020-05-04 21:00:00","Andalucía",5983,10,738,0,1267,4
"2020-05-04 21:00:00","Aragón",2539,13,260,0,770,8
"2020-05-04 21:00:00","Asturias",2045,32,142,0,284,0
"2020-05-04 21:00:00","Baleares",1110,8,168,1,198,1
"2020-05-04 21:00:00","Canarias",920,1,176,1,142,1
"2020-05-04 21:00:00","Cantabria",1014,4,79,0,198,1
"2020-05-04 21:00:00","Castilla La Mancha",8725,27,609,3,2616,26
"2020-05-04 21:00:00","Castilla y León",8152,30,537,3,1831,14
"2020-05-04 21:00:00","Cataluña",27745,424,2856,9,5270,50
"2020-05-04 21:00:00","Ceuta",10,0,4,0,4,0
"2020-05-04 21:00:00","Comunidad Valenciana",5213,10,701,1,1279,10
"2020-05-04 21:00:00","Extremadura",1629,11,108,0,462,2
"2020-05-04 21:00:00","Galicia",2792,10,317,2,573,4
"2020-05-04 21:00:00","Madrid",40851,110,3441,11,8420,44
"2020-05-04 21:00:00","Melilla",44,0,3,0,2,0
"2020-05-04 21:00:00","Murcia",650,5,111,1,136,2
"2020-05-04 21:00:00","Navarra",1995,5,134,1,471,5
"2020-05-04 21:00:00","País Vasco",6736,17,556,2,1353,12
"2020-05-04 21:00:00","La Rioja",1452,3,90,2,336,1
