"Date","Region","Total confirmed cases","Population Incidence Ratio","Total Hospital cases","Total ICU cases","Total deaths","Total cured","New cases"
"2020-04-07 21:00:00","Andalucía",8997,71.15,4463,520,605,1041,230
"2020-04-07 21:00:00","Aragón",3549,200.26,1716,255,349,659,100
"2020-04-07 21:00:00","Asturias",1705,90.54,958,91,102,294,26
"2020-04-07 21:00:00","Baleares",1412,73.95,731,129,89,616,43
"2020-04-07 21:00:00","Canarias",1761,51.31,703,138,91,249,37
"2020-04-07 21:00:00","Cantabria",1571,182.76,700,69,92,175,71
"2020-04-07 21:00:00","Castilla La Mancha",11788,443.12,2731,354,1255,1557,711
"2020-04-07 21:00:00","Castilla y León",10058,296.64,5322,342,1028,2988,477
"2020-04-07 21:00:00","Cataluña",29647,256.8,20250,2441,3041,12250,1324
"2020-04-07 21:00:00","Ceuta",84,88.47,9,4,4,7,1
"2020-04-07 21:00:00","Comunidad Valenciana",7655,100.7,1714,371,724,1344,212
"2020-04-07 21:00:00","Extremadura",2184,135.06,898,98,271,328,68
"2020-04-07 21:00:00","Galicia",6537,180.96,2014,158,213,800,207
"2020-04-07 21:00:00","Madrid",42450,418.0,13289,1450,5586,19836,1980
"2020-04-07 21:00:00","Melilla",93,63.59,40,3,2,12,1
"2020-04-07 21:00:00","Murcia",1325,56.83,515,86,85,203,43
"2020-04-07 21:00:00","Navarra",3467,346.98,1526,124,206,450,112
"2020-04-07 21:00:00","País Vasco",9452,279.96,4982,430,635,4151,431
"2020-04-07 21:00:00","La Rioja",2951,638.58,955,68,177,1061,105
