"Date","Region","Total confirmed cases","New cases","New cases percentage","Population Incidence Ratio"
"2020-05-09 21:00:00","Andalucía",12315,17,0.14,6.94
"2020-05-09 21:00:00","Aragón",5316,25,0.47,27.36
"2020-05-09 21:00:00","Asturias",2343,1,0.04,7.92
"2020-05-09 21:00:00","Baleares",1950,6,0.31,8.35
"2020-05-09 21:00:00","Canarias",2258,8,0.36,4.23
"2020-05-09 21:00:00","Cantabria",2244,3,0.13,27.71
"2020-05-09 21:00:00","Castilla La Mancha",16343,65,0.4,36.11
"2020-05-09 21:00:00","Castilla y León",17917,110,0.62,70.64
"2020-05-09 21:00:00","Cataluña",52086,151,0.29,68.73
"2020-05-09 21:00:00","Ceuta",110,0,0.0,11.8
"2020-05-09 21:00:00","Comunidad Valenciana",10713,52,0.49,11.05
"2020-05-09 21:00:00","Extremadura",2912,5,0.17,16.48
"2020-05-09 21:00:00","Galicia",9253,37,0.4,32.15
"2020-05-09 21:00:00","Madrid",64786,73,0.11,51.97
"2020-05-09 21:00:00","Melilla",119,0,0.0,10.41
"2020-05-09 21:00:00","Murcia",1508,2,0.13,2.28
"2020-05-09 21:00:00","Navarra",5052,13,0.26,51.97
"2020-05-09 21:00:00","País Vasco",13155,45,0.34,31.75
"2020-05-09 21:00:00","La Rioja",4008,8,0.2,46.4
