"Date","Region","Total confirmed cases","New cases","Total Tests","Total Fast Tests","Population Incidence Ratio"
"2020-04-16 21:00:00","Andalucía",11053,246,10672,381,43.72
"2020-04-16 21:00:00","Aragón",4664,98,4489,175,134.54
"2020-04-16 21:00:00","Asturias",2230,60,2124,54,77.92
"2020-04-16 21:00:00","Baleares",1668,31,0,0,35.76
"2020-04-16 21:00:00","Canarias",2009,21,2009,0,24.1
"2020-04-16 21:00:00","Cantabria",1884,39,0,0,96.89
"2020-04-16 21:00:00","Castilla La Mancha",15997,846,0,0,367.66
"2020-04-16 21:00:00","Castilla y León",14903,523,0,0,292.89
"2020-04-16 21:00:00","Cataluña",38316,962,0,0,193.56
"2020-04-16 21:00:00","Ceuta",101,1,98,3,46.0
"2020-04-16 21:00:00","Comunidad Valenciana",9869,254,9486,297,64.85
"2020-04-16 21:00:00","Extremadura",3019,138,2656,363,105.46
"2020-04-16 21:00:00","Galicia",8013,140,0,0,103.5
"2020-04-16 21:00:00","Madrid",51993,1299,0,0,267.21
"2020-04-16 21:00:00","Melilla",104,1,0,0,39.31
"2020-04-16 21:00:00","Murcia",1625,27,1423,202,32.13
"2020-04-16 21:00:00","Navarra",4433,85,0,0,244.11
"2020-04-16 21:00:00","País Vasco",12089,299,0,0,193.04
"2020-04-16 21:00:00","La Rioja",4098,182,3547,551,591.54
