"Date","Region","Total Hospital cases","New Hospital cases","Total ICU cases","New ICU cases","Total deaths","New deaths","Total cured","New cured"
"2020-04-18 21:00:00","Andalucía",5423,83,687,10,993,26,3116,168
"2020-04-18 21:00:00","Aragón",2215,36,246,3,619,18,1175,54
"2020-04-18 21:00:00","Asturias",1571,51,120,1,196,9,596,21
"2020-04-18 21:00:00","Baleares",955,18,160,3,155,7,993,35
"2020-04-18 21:00:00","Canarias",825,3,162,2,119,4,789,4
"2020-04-18 21:00:00","Cantabria",924,13,78,0,153,4,610,76
"2020-04-18 21:00:00","Castilla La Mancha",8137,44,518,4,1963,50,3963,125
"2020-04-18 21:00:00","Castilla y León",6981,150,498,3,1458,29,5262,159
"2020-04-18 21:00:00","Cataluña",22235,222,2395,46,3933,54,13690,416
"2020-04-18 21:00:00","Ceuta",9,0,4,0,4,0,59,6
"2020-04-18 21:00:00","Comunidad Valenciana",4781,73,643,7,1065,23,4547,241
"2020-04-18 21:00:00","Extremadura",1278,38,112,0,384,4,767,31
"2020-04-18 21:00:00","Galicia",2590,36,112,0,346,12,0,0
"2020-04-18 21:00:00","Madrid",8291,0,1123,0,7239,107,31313,838
"2020-04-18 21:00:00","Melilla",44,0,3,0,2,0,44,14
"2020-04-18 21:00:00","Murcia",612,1,102,0,116,1,652,14
"2020-04-18 21:00:00","Navarra",1843,14,127,0,369,15,992,38
"2020-04-18 21:00:00","País Vasco",6086,56,499,9,1062,42,6972,416
"2020-04-18 21:00:00","La Rioja",1268,19,79,1,277,5,1815,39
