"Date","Region","Total confirmed cases","New cases","New cases percentage","Population Incidence Ratio"
"2020-05-17 21:00:00","Andalucía",12458,8,0.06,3.59
"2020-05-17 21:00:00","Aragón",5502,25,0.46,23.88
"2020-05-17 21:00:00","Asturias",2369,3,0.13,5.38
"2020-05-17 21:00:00","Baleares",1993,2,0.1,7.57
"2020-05-17 21:00:00","Canarias",2294,5,0.22,3.2
"2020-05-17 21:00:00","Cantabria",2271,3,0.13,11.19
"2020-05-17 21:00:00","Castilla La Mancha",16648,30,0.18,29.42
"2020-05-17 21:00:00","Castilla y León",18512,42,0.23,49.09
"2020-05-17 21:00:00","Cataluña",55921,85,0.15,36.55
"2020-05-17 21:00:00","Ceuta",116,0,0.0,17.69
"2020-05-17 21:00:00","Comunidad Valenciana",10914,21,0.19,9.55
"2020-05-17 21:00:00","Extremadura",2948,1,0.03,9.27
"2020-05-17 21:00:00","Galicia",9056,5,0.06,7.3
"2020-05-17 21:00:00","Madrid",66301,5,0.01,35.88
"2020-05-17 21:00:00","Melilla",121,0,0.0,2.31
"2020-05-17 21:00:00","Murcia",1556,5,0.32,4.28
"2020-05-17 21:00:00","Navarra",5178,30,0.58,39.74
"2020-05-17 21:00:00","País Vasco",13422,15,0.11,16.76
"2020-05-17 21:00:00","La Rioja",4024,0,0.0,19.89
