"Date","Region","Total Hospital cases","New Hospital cases","Total ICU cases","New ICU cases","Total deaths","New deaths"
"2020-05-10 21:00:00","Andalucía",6092,12,745,0,1321,2
"2020-05-10 21:00:00","Aragón",2595,7,263,0,825,1
"2020-05-10 21:00:00","Asturias",2197,12,149,2,299,4
"2020-05-10 21:00:00","Baleares",1126,0,169,0,209,0
"2020-05-10 21:00:00","Canarias",936,1,178,0,149,1
"2020-05-10 21:00:00","Cantabria",1027,0,79,0,201,0
"2020-05-10 21:00:00","Castilla La Mancha",8918,23,624,1,2786,27
"2020-05-10 21:00:00","Castilla y León",8482,14,547,1,1905,8
"2020-05-10 21:00:00","Cataluña",28820,36,2995,4,5555,23
"2020-05-10 21:00:00","Ceuta",11,0,4,0,4,0
"2020-05-10 21:00:00","Comunidad Valenciana",5355,1,716,0,1330,7
"2020-05-10 21:00:00","Extremadura",1725,14,109,0,483,3
"2020-05-10 21:00:00","Galicia",2901,16,326,1,593,1
"2020-05-10 21:00:00","Madrid",41650,91,3529,9,8683,39
"2020-05-10 21:00:00","Melilla",44,0,3,0,2,0
"2020-05-10 21:00:00","Murcia",665,3,113,0,139,0
"2020-05-10 21:00:00","Navarra",2029,6,135,0,490,2
"2020-05-10 21:00:00","País Vasco",6922,20,573,2,1423,5
"2020-05-10 21:00:00","La Rioja",1475,1,91,0,346,0
