"Date","Region","Total Hospital cases","New Hospital cases","Total ICU cases","New ICU cases","Total deaths","New deaths"
"2020-05-17 21:00:00","Andalucía",6178,4,761,1,1358,0
"2020-05-17 21:00:00","Aragón",2659,4,267,1,838,0
"2020-05-17 21:00:00","Asturias",2328,17,153,0,317,2
"2020-05-17 21:00:00","Baleares",1136,0,169,0,218,0
"2020-05-17 21:00:00","Canarias",942,3,178,0,153,2
"2020-05-17 21:00:00","Cantabria",1035,2,79,0,207,0
"2020-05-17 21:00:00","Castilla La Mancha",9066,12,637,0,2898,5
"2020-05-17 21:00:00","Castilla y León",8717,27,551,1,1953,7
"2020-05-17 21:00:00","Cataluña",29421,21,2957,0,5956,12
"2020-05-17 21:00:00","Ceuta",11,0,4,0,4,0
"2020-05-17 21:00:00","Comunidad Valenciana",5468,15,725,2,1370,4
"2020-05-17 21:00:00","Extremadura",1775,0,110,0,500,0
"2020-05-17 21:00:00","Galicia",2933,8,332,0,607,1
"2020-05-17 21:00:00","Madrid",42283,56,3594,10,8863,16
"2020-05-17 21:00:00","Melilla",44,0,3,0,2,0
"2020-05-17 21:00:00","Murcia",678,2,112,0,145,1
"2020-05-17 21:00:00","Navarra",2045,0,136,0,503,0
"2020-05-17 21:00:00","País Vasco",7016,1,578,0,1466,7
"2020-05-17 21:00:00","La Rioja",1496,0,91,0,351,2
