"Date","Region","Total confirmed cases","New cases","New cases percentage","Population Incidence Ratio"
"2020-05-12 21:00:00","Andalucía",12317,24,0.2,5.13
"2020-05-12 21:00:00","Aragón",5372,13,0.24,25.01
"2020-05-12 21:00:00","Asturias",2356,5,0.21,6.55
"2020-05-12 21:00:00","Baleares",1956,4,0.2,6.79
"2020-05-12 21:00:00","Canarias",2271,3,0.13,3.2
"2020-05-12 21:00:00","Cantabria",2256,10,0.45,18.93
"2020-05-12 21:00:00","Castilla La Mancha",16453,22,0.13,32.86
"2020-05-12 21:00:00","Castilla y León",18105,57,0.32,58.97
"2020-05-12 21:00:00","Cataluña",55280,136,0.25,50.96
"2020-05-12 21:00:00","Ceuta",114,0,0.0,15.33
"2020-05-12 21:00:00","Comunidad Valenciana",10760,20,0.19,10.47
"2020-05-12 21:00:00","Extremadura",2918,0,0.0,14.52
"2020-05-12 21:00:00","Galicia",9301,10,0.11,23.19
"2020-05-12 21:00:00","Madrid",65268,75,0.12,39.74
"2020-05-12 21:00:00","Melilla",119,0,0.0,5.78
"2020-05-12 21:00:00","Murcia",1525,8,0.53,3.01
"2020-05-12 21:00:00","Navarra",5093,13,0.26,45.86
"2020-05-12 21:00:00","País Vasco",13214,38,0.29,26.95
"2020-05-12 21:00:00","La Rioja",4008,1,0.02,31.25
